symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
KNC/USD,0.3597,0.3597,0.3597,0.3597,1,18.58165,0.3597,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
KNC/USD,0.361,0.3697,0.361,0.3697,4,154.23100497,0.3622,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
KNC/USD,0.361,0.361,0.361,0.361,3,131.67153,0.361,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
KNC/USD,0.361,0.361,0.361,0.361,2,60.94182824,0.361,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
KNC/USD,0.361,0.361,0.361,0.361,1,30.47091412,0.361,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
KNC/USD,0.3706,0.3706,0.3706,0.3706,2,52.18811043,0.3706,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
KNC/USD,0.3706,0.3706,0.3706,0.3706,1,22.52252252,0.3706,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
KNC/USD,0.3726,0.3726,0.3637,0.3637,4,112.56271386,0.3677,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KNC/USD,0.3726,0.3726,0.3637,0.3637,3,82.30968856,0.3692,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KNC/USD,0.3726,0.3726,0.3725,0.3725,2,52.05666326,0.3725,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KNC/USD,0.3726,0.3726,0.3726,0.3726,1,22.5502255,0.3726,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KNC/USD,0.3629,0.363,0.3629,0.363,2,60.6060606,0.3629,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KNC/USD,0.3629,0.3629,0.3629,0.3629,1,30.3030303,0.3629,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KNC/USD,0.3657,0.3713,0.3657,0.3713,4,112.11947716,0.3683,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
KNC/USD,0.3657,0.3712,0.3657,0.3712,3,82.48585648,0.3672,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
