symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
KP3R/EUR,16.9,16.9,16.9,16.9,1,1.16594,16.9,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KP3R/EUR,16.7,16.7,16.1,16.1,3,5.2717716,16.5,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KP3R/EUR,16.7,16.7,16.7,16.7,1,2.2688932,16.7,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KP3R/EUR,17.0,17.0,17.0,17.0,1,3.62830522,17.0,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KP3R/EUR,17.2,17.3,17.2,17.3,2,49.59509,17.2,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KP3R/EUR,17.2,17.2,17.2,17.2,2,33.22306968,17.2,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
KP3R/EUR,17.2,17.2,17.2,17.2,1,11.21892,17.2,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
KP3R/EUR,17.3,18.3,17.3,18.3,2,33.69116,17.3,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
KP3R/EUR,17.0,17.0,17.0,17.0,7,25.36685012,17.0,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
KP3R/EUR,17.1,17.1,17.0,17.0,12,33.44763845,17.0,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
KP3R/EUR,19.2,19.2,19.2,19.2,1,0.42766666,19.2,2025-02-02T17:15:00.000000000Z,1,2025-02-02T17:16:00.000000Z
KP3R/EUR,18.6,18.6,18.6,18.6,2,12.68872181,18.6,2025-02-02T15:18:00.000000000Z,1,2025-02-02T15:19:00.000000Z
KP3R/EUR,18.6,18.6,18.6,18.6,5,8.52358068,18.6,2025-02-02T15:15:00.000000000Z,1,2025-02-02T15:16:00.000000Z
KP3R/EUR,18.6,18.6,18.6,18.6,1,1.00798387,18.6,2025-02-02T14:39:00.000000000Z,1,2025-02-02T14:40:00.000000Z
KP3R/EUR,18.3,18.6,18.2,18.6,3,41.04245236,18.3,2025-02-02T14:38:00.000000000Z,1,2025-02-02T14:39:00.000000Z
KP3R/EUR,18.6,18.6,18.6,18.6,2,1.32532257,18.6,2025-02-02T14:24:00.000000000Z,1,2025-02-02T14:25:00.000000Z
KP3R/EUR,18.7,18.7,18.7,18.7,1,0.10334,18.7,2025-02-02T14:16:00.000000000Z,1,2025-02-02T14:17:00.000000Z
