symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
KUJI/USD,0.2427,0.2427,0.2427,0.2427,1,342.0,0.2427,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
KUJI/USD,0.2428,0.2469,0.2427,0.2469,4,835.4555,0.2454,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
KUJI/USD,0.2428,0.2428,0.2427,0.2427,2,221.2972,0.2427,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
KUJI/USD,0.2488,0.2488,0.2488,0.2488,1,7.8444,0.2488,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KUJI/USD,0.2474,0.2474,0.2474,0.2474,1,30.88116,0.2474,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KUJI/USD,0.2427,0.2427,0.2427,0.2427,1,3.7807,0.2427,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
KUJI/USD,0.2467,0.249,0.2467,0.249,2,1170.9257,0.2485,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
KUJI/USD,0.2428,0.2428,0.2428,0.2428,1,15.1065,0.2428,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
KUJI/USD,0.2428,0.2428,0.2428,0.2428,1,79.2296,0.2428,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
KUJI/USD,0.2466,0.2466,0.2466,0.2466,1,77.04785,0.2466,2025-02-03T01:40:00.000000000Z,1,2025-02-03T01:41:00.000000Z
KUJI/USD,0.2431,0.2431,0.2431,0.2431,1,119.8713,0.2431,2025-02-03T01:38:00.000000000Z,1,2025-02-03T01:39:00.000000Z
KUJI/USD,0.2436,0.2436,0.2421,0.2434,5,774.444,0.2432,2025-02-03T01:36:00.000000000Z,1,2025-02-03T01:37:00.000000Z
KUJI/USD,0.2436,0.2436,0.2436,0.2436,2,355.78,0.2436,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
KUJI/USD,0.2438,0.2487,0.2438,0.2487,4,403.4597,0.2447,2025-02-03T01:34:00.000000000Z,1,2025-02-03T01:35:00.000000Z
KUJI/USD,0.2439,0.2439,0.2439,0.2439,1,90.4923,0.2439,2025-02-03T01:33:00.000000000Z,1,2025-02-03T01:34:00.000000Z
KUJI/USD,0.2442,0.2442,0.2425,0.2425,5,1071.50024,0.2433,2025-02-03T01:32:00.000000000Z,1,2025-02-03T01:33:00.000000Z
