symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LINK/GBP,13.538,13.734,13.293,13.734,14,197.47997614,13.441,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LINK/GBP,13.538,13.538,13.293,13.293,12,157.41608614,13.366,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LINK/GBP,13.538,13.538,13.299,13.299,5,100.296077,13.407,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LINK/GBP,13.538,13.538,13.5,13.5,2,21.13222985,13.52,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LINK/GBP,13.538,13.538,13.538,13.538,1,11.40856783,13.538,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LINK/GBP,13.805,13.805,13.62,13.62,9,223.36065722,13.63,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LINK/GBP,13.805,13.805,13.623,13.623,7,88.61121728,13.644,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LINK/GBP,13.805,13.805,13.623,13.623,6,83.65153147,13.646,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LINK/GBP,13.805,13.805,13.625,13.625,5,78.47813945,13.647,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LINK/GBP,13.805,13.805,13.626,13.626,4,17.16814312,13.728,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LINK/GBP,13.805,13.805,13.689,13.797,3,13.33383346,13.758,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LINK/GBP,13.805,13.805,13.689,13.689,2,8.03570344,13.732,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LINK/GBP,13.805,13.805,13.805,13.805,1,3.0,13.805,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
