symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LMWR/EUR,0.1354,0.1354,0.1354,0.1354,2,91.50999,0.1354,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LMWR/EUR,0.1354,0.1354,0.1354,0.1354,1,48.2299,0.1354,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LMWR/EUR,0.1353,0.1354,0.1353,0.1354,3,136.30117,0.1353,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
LMWR/EUR,0.1353,0.1353,0.1353,0.1353,2,89.33146,0.1353,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
LMWR/EUR,0.1353,0.1353,0.1353,0.1353,1,43.14437,0.1353,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
LMWR/EUR,0.1353,0.1354,0.1353,0.1354,6,394.41575,0.1353,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LMWR/EUR,0.1353,0.1354,0.1353,0.1354,5,350.70637,0.1353,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LMWR/EUR,0.1353,0.1353,0.1353,0.1353,4,307.02806,0.1353,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LMWR/EUR,0.1353,0.1353,0.1353,0.1353,3,260.37734,0.1353,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LMWR/EUR,0.1353,0.1353,0.1353,0.1353,2,152.38089,0.1353,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LMWR/EUR,0.1359,0.1359,0.1359,0.1359,1,107.14683,0.1359,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
LMWR/EUR,0.1371,0.1371,0.1366,0.1366,7,745.34821,0.1367,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LMWR/EUR,0.1371,0.1371,0.1366,0.1366,6,638.29512,0.1367,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LMWR/EUR,0.1371,0.1371,0.1367,0.1367,5,531.56547,0.1367,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LMWR/EUR,0.1371,0.1371,0.1367,0.1367,4,425.3326,0.1368,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LMWR/EUR,0.1371,0.1371,0.1367,0.1368,3,318.41289,0.1368,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LMWR/EUR,0.1371,0.1371,0.1367,0.1367,2,212.1095,0.1369,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LMWR/EUR,0.1371,0.1371,0.1371,0.1371,1,106.09856,0.1371,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LMWR/EUR,0.1375,0.1375,0.137,0.137,6,4089.14282,0.137,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LMWR/EUR,0.1375,0.1375,0.137,0.137,5,1418.13144,0.137,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LMWR/EUR,0.1375,0.1375,0.1375,0.1375,1,48.12945,0.1375,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LMWR/EUR,0.1386,0.1386,0.1386,0.1386,1,46.26871,0.1386,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
LMWR/EUR,0.14,0.14,0.1384,0.1384,10,1483.28139,0.1395,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.14,0.14,0.1388,0.1388,9,1377.66277,0.1396,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.14,0.14,0.1388,0.1388,8,1332.78075,0.1396,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.14,0.14,0.1389,0.1389,7,1227.5116,0.1397,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.14,0.14,0.139,0.139,6,1122.23938,0.1397,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.14,0.14,0.1391,0.1391,5,1017.30904,0.1398,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.14,0.14,0.1397,0.1397,4,912.93075,0.1399,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.14,0.14,0.1399,0.1399,3,808.59075,0.1399,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.14,0.14,0.14,0.14,2,760.04011,0.14,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LMWR/EUR,0.1401,0.1401,0.1401,0.1401,3,142.22218,0.1401,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LMWR/EUR,0.1401,0.1401,0.1401,0.1401,2,92.47231,0.1401,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LMWR/EUR,0.1401,0.1401,0.1401,0.1401,1,47.06804,0.1401,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LMWR/EUR,0.1408,0.1408,0.1408,0.1408,1,103.54161,0.1408,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
LMWR/EUR,0.142,0.142,0.142,0.142,1,14084.50704,0.142,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
LMWR/EUR,0.1421,0.1421,0.1421,0.1421,6,557.06208,0.1421,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
LMWR/EUR,0.1429,0.1429,0.1427,0.1427,5,509.25727,0.1427,2025-02-03T01:41:00.000000000Z,1,2025-02-03T01:42:00.000000Z
LMWR/EUR,0.1432,0.1435,0.1432,0.1435,5,508.70064,0.1433,2025-02-03T01:28:00.000000000Z,1,2025-02-03T01:29:00.000000Z
LMWR/EUR,0.1429,0.1429,0.1429,0.1429,2,204.00268,0.1429,2025-02-03T01:09:00.000000000Z,1,2025-02-03T01:10:00.000000Z
LMWR/EUR,0.1449,0.1449,0.1449,0.1449,1,100.37972,0.1449,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
LMWR/EUR,0.1456,0.1457,0.1456,0.1457,4,1923.89745,0.1456,2025-02-02T23:56:00.000000000Z,1,2025-02-02T23:57:00.000000Z
LMWR/EUR,0.1454,0.1454,0.1454,0.1454,2,426.34113,0.1454,2025-02-02T23:48:00.000000000Z,1,2025-02-02T23:49:00.000000Z
LMWR/EUR,0.1447,0.1452,0.1447,0.1452,9,904.39326,0.1449,2025-02-02T23:47:00.000000000Z,1,2025-02-02T23:48:00.000000Z
