symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LPT/USD,7.28,7.36,7.28,7.33,13,74.89943616,7.33,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.36,7.28,7.33,12,64.16128203,7.33,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.36,7.28,7.33,11,53.4231279,7.33,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.36,7.28,7.32,10,43.5922375,7.33,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.36,7.28,7.32,9,42.62240144,7.33,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.36,7.28,7.31,7,26.97455145,7.34,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.36,7.28,7.35,5,25.47591385,7.34,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.36,7.28,7.28,4,23.98337654,7.34,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.36,7.28,7.36,3,23.01370428,7.34,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.28,7.28,7.28,2,3.01370428,7.28,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.28,7.28,7.28,7.28,1,1.50478796,7.28,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LPT/USD,7.41,7.42,7.41,7.42,2,2.96297505,7.41,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
LPT/USD,7.41,7.41,7.41,7.41,1,1.47849462,7.41,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
LPT/USD,7.49,7.49,7.28,7.28,4,6.14360463,7.38,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LPT/USD,7.49,7.49,7.35,7.35,3,4.65308973,7.41,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LPT/USD,7.49,7.49,7.42,7.42,2,3.16257483,7.45,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LPT/USD,7.49,7.49,7.49,7.49,1,1.46862483,7.49,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
