symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LQTY/EUR,1.0,1.0,1.0,1.0,1,10.0,1.0,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LQTY/EUR,1.3,1.3,1.3,1.3,1,5.0,1.3,2025-02-02T16:36:00.000000000Z,1,2025-02-02T16:37:00.000000Z
LQTY/EUR,1.3202,1.3202,1.3202,1.3202,1,7.54681,1.3202,2025-02-02T11:37:00.000000000Z,1,2025-02-02T11:38:00.000000Z
LQTY/EUR,1.4172,1.4178,1.4172,1.4178,3,28.22178,1.4173,2025-02-02T11:04:00.000000000Z,1,2025-02-02T11:05:00.000000Z
LQTY/EUR,1.45,1.45,1.45,1.45,1,60.28965,1.45,2025-02-01T10:52:00.000000000Z,1,2025-02-01T10:53:00.000000Z
LQTY/EUR,1.44,1.44,1.44,1.44,2,29.2278,1.44,2025-01-31T10:13:00.000000000Z,1,2025-01-31T10:14:00.000000Z
LQTY/EUR,1.4339,1.4339,1.4339,1.4339,1,6.70196,1.4339,2025-01-30T17:49:00.000000000Z,1,2025-01-30T17:50:00.000000Z
LQTY/EUR,1.4176,1.4176,1.4176,1.4176,1,38.909,1.4176,2025-01-29T19:45:00.000000000Z,1,2025-01-29T19:46:00.000000Z
LQTY/EUR,1.4208,1.4208,1.4208,1.4208,1,6.37007,1.4208,2025-01-28T23:11:00.000000000Z,1,2025-01-28T23:12:00.000000Z
LQTY/EUR,1.3005,1.3005,1.3005,1.3005,1,18.26372,1.3005,2025-01-28T22:27:00.000000000Z,1,2025-01-28T22:28:00.000000Z
LQTY/EUR,1.3808,1.3808,1.3808,1.3808,1,5.0,1.3808,2025-01-28T20:56:00.000000000Z,1,2025-01-28T20:57:00.000000Z
