symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LQTY/USD,1.0389,1.0631,1.0389,1.0631,8,2035.74727,1.0607,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LQTY/USD,1.0389,1.0631,1.0389,1.0631,7,1746.96399,1.0603,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LQTY/USD,1.0389,1.0631,1.0389,1.0631,6,1321.86394,1.0594,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LQTY/USD,1.0389,1.0631,1.0389,1.0631,5,779.94285,1.0568,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LQTY/USD,1.0389,1.0631,1.0389,1.0631,4,738.94285,1.0564,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LQTY/USD,1.0389,1.0556,1.0389,1.0556,2,208.83499,1.0397,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LQTY/USD,1.0389,1.0389,1.0389,1.0389,1,197.83499,1.0389,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LQTY/USD,1.0756,1.0756,1.0678,1.0678,6,196.1685,1.0734,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LQTY/USD,1.0756,1.0756,1.0678,1.0678,5,193.72302,1.0735,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LQTY/USD,1.0756,1.0756,1.0678,1.0678,4,182.72302,1.0739,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LQTY/USD,1.0756,1.0756,1.0678,1.0678,3,153.72302,1.075,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LQTY/USD,1.0756,1.0756,1.0756,1.0756,2,143.0,1.0756,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LQTY/USD,1.0756,1.0756,1.0756,1.0756,1,99.0,1.0756,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LQTY/USD,1.1031,1.1031,1.1031,1.1031,2,100.67634,1.1031,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LQTY/USD,1.1031,1.1031,1.1031,1.1031,1,13.07841,1.1031,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LQTY/USD,1.1865,1.1865,1.1865,1.1865,2,19.34771,1.1865,2025-02-03T00:21:00.000000000Z,1,2025-02-03T00:22:00.000000Z
LQTY/USD,1.2266,1.2266,1.2266,1.2266,1,45.0,1.2266,2025-02-02T23:53:00.000000000Z,1,2025-02-02T23:54:00.000000Z
LQTY/USD,1.2217,1.2217,1.2217,1.2217,1,85.0,1.2217,2025-02-02T23:51:00.000000000Z,1,2025-02-02T23:52:00.000000Z
LQTY/USD,1.219,1.219,1.219,1.219,1,55.0,1.219,2025-02-02T23:49:00.000000000Z,1,2025-02-02T23:50:00.000000Z
LQTY/USD,1.2103,1.2103,1.2103,1.2103,1,10.57862,1.2103,2025-02-02T23:46:00.000000000Z,1,2025-02-02T23:47:00.000000Z
LQTY/USD,1.2104,1.2104,1.2104,1.2104,1,8.85138,1.2104,2025-02-02T23:25:00.000000000Z,1,2025-02-02T23:26:00.000000Z
LQTY/USD,1.2069,1.2069,1.2069,1.2069,1,0.98645,1.2069,2025-02-02T23:24:00.000000000Z,1,2025-02-02T23:25:00.000000Z
LQTY/USD,1.2,1.2,1.2,1.2,2,208.33333,1.2,2025-02-02T23:21:00.000000000Z,1,2025-02-02T23:22:00.000000Z
LQTY/USD,1.2073,1.2073,1.2073,1.2073,1,39.528,1.2073,2025-02-02T22:59:00.000000000Z,1,2025-02-02T23:00:00.000000Z
LQTY/USD,1.1978,1.1978,1.1978,1.1978,1,22.55719,1.1978,2025-02-02T22:46:00.000000000Z,1,2025-02-02T22:47:00.000000Z
