symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LRC/USD,0.1059,0.1059,0.1059,0.1059,1,102.61194029,0.1059,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LRC/USD,0.1105,0.1105,0.1089,0.1092,30,64603.51442455,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.1089,0.1094,29,64560.40111374,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.1089,0.1094,28,64475.46167867,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.1089,0.1094,27,64216.79849756,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.1089,0.1089,26,63958.13531645,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.109,25,63776.15169498,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.109,24,53480.04503592,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.1099,23,42876.79686342,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.1091,22,42776.43189992,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.1091,21,42589.88457301,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.1091,20,42331.4598482,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.11,19,42073.30989657,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.1099,18,41972.94493307,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.1098,17,41800.14493307,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LRC/USD,0.1105,0.1105,0.109,0.1095,16,41627.34493307,0.109,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
