symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LSK/EUR,0.6003,0.6003,0.600002,0.600002,5,965.27224222,0.600261,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/EUR,0.6003,0.6003,0.6003,0.6003,3,643.49332408,0.6003,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/EUR,0.6003,0.6003,0.6003,0.6003,2,321.74718905,0.6003,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/EUR,0.6003,0.6003,0.6003,0.6003,1,12.1999998,0.6003,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/EUR,0.63,0.63,0.63,0.63,1,26.7672661,0.63,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LSK/EUR,0.645094,0.645094,0.645055,0.645055,5,899.16,0.645084,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/EUR,0.645094,0.645094,0.645055,0.645055,4,887.06849521,0.645084,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/EUR,0.645094,0.645094,0.645081,0.645081,3,684.72996359,0.645093,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/EUR,0.645081,0.645082,0.645081,0.645082,2,21.52502208,0.645081,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LSK/EUR,0.645081,0.645081,0.645081,0.645081,1,12.09150479,0.645081,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LSK/EUR,0.63,0.63,0.63,0.63,1,8.2327339,0.63,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
LSK/EUR,0.653053,0.653053,0.630001,0.630001,4,435.63571594,0.649785,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LSK/EUR,0.653053,0.653053,0.653053,0.653053,1,66.8,0.653053,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LSK/EUR,0.660001,0.660001,0.660001,0.660001,1,106.03516325,0.660001,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LSK/EUR,0.67,0.67,0.660001,0.660001,2,291.57064074,0.665041,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
LSK/EUR,0.67,0.67,0.67,0.67,1,3.01699999,0.67,2025-02-03T01:30:00.000000000Z,1,2025-02-03T01:31:00.000000Z
LSK/EUR,0.678231,0.678231,0.678231,0.678231,1,5.7799,0.678231,2025-02-03T01:21:00.000000000Z,1,2025-02-03T01:22:00.000000Z
LSK/EUR,0.67457,0.67457,0.67457,0.67457,1,66.06014643,0.67457,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
LSK/EUR,0.67796,0.67796,0.67796,0.67796,2,20.0,0.67796,2025-02-03T00:47:00.000000000Z,1,2025-02-03T00:48:00.000000Z
LSK/EUR,0.753121,0.756886,0.753121,0.756886,3,108.78988052,0.754619,2025-02-02T23:32:00.000000000Z,1,2025-02-02T23:33:00.000000Z
LSK/EUR,0.735918,0.735918,0.735918,0.735918,1,17.91232176,0.735918,2025-02-02T23:31:00.000000000Z,1,2025-02-02T23:32:00.000000Z
LSK/EUR,0.714602,0.721582,0.714602,0.721582,6,1773.06725696,0.721028,2025-02-02T23:21:00.000000000Z,1,2025-02-02T23:22:00.000000Z
LSK/EUR,0.709635,0.709635,0.709635,0.709635,1,10.99156609,0.709635,2025-02-02T23:15:00.000000000Z,1,2025-02-02T23:16:00.000000Z
LSK/EUR,0.693045,0.699679,0.693045,0.699679,2,17.04347853,0.696382,2025-02-02T23:05:00.000000000Z,1,2025-02-02T23:06:00.000000Z
