symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LSK/USD,0.610194,0.610205,0.610001,0.610001,11,2137.39466154,0.610169,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/USD,0.610194,0.610205,0.610142,0.610142,8,1409.7999998,0.610196,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/USD,0.610194,0.610203,0.610142,0.610142,6,1055.2999998,0.610195,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/USD,0.610194,0.610203,0.610194,0.610203,4,700.7999998,0.610195,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/USD,0.610194,0.610198,0.610194,0.610198,3,688.6,0.610195,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/USD,0.610194,0.610196,0.610194,0.610196,2,635.6,0.610195,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/USD,0.610194,0.610194,0.610194,0.610194,1,177.3,0.610194,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
LSK/USD,0.658949,0.658949,0.658949,0.658949,2,1001.001,0.658949,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LSK/USD,0.658949,0.658949,0.658949,0.658949,1,421.9,0.658949,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,18,1242.88156899,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,17,1052.63454216,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,16,1040.54303737,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,15,794.12014376,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,14,579.69010735,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,13,567.59860256,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,12,365.26007094,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,11,361.68442593,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,10,356.83610994,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,9,344.83650393,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,8,329.05297449,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,7,289.27023304,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,6,282.03744541,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663223,0.663223,5,267.57187014,0.663223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663225,0.663225,0.663224,0.663224,3,238.6407196,0.663224,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LSK/USD,0.663224,0.663224,0.663224,0.663224,5,57.77777174,0.663224,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LSK/USD,0.663224,0.663224,0.663224,0.663224,4,45.70803166,0.663224,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LSK/USD,0.663224,0.663224,0.663224,0.663224,3,36.27451437,0.663224,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LSK/USD,0.663224,0.663224,0.663224,0.663224,2,24.18300958,0.663224,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LSK/USD,0.663224,0.663224,0.663224,0.663224,1,12.09150479,0.663224,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LSK/USD,0.648928,0.648928,0.648928,0.648928,1,18.70252205,0.648928,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LSK/USD,0.639507,0.648925,0.639507,0.648925,4,753.87046233,0.643482,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LSK/USD,0.639507,0.639507,0.639507,0.639507,2,435.63571595,0.639507,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LSK/USD,0.639507,0.639507,0.639507,0.639507,1,66.8,0.639507,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LSK/USD,0.688963,0.688963,0.670001,0.670001,3,1184.30680506,0.685264,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LSK/USD,0.688963,0.688963,0.688963,0.688963,1,953.2888,0.688963,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LSK/USD,0.688849,0.688849,0.688849,0.688849,1,946.9696,0.688849,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
