symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LUNA2/EUR,0.206,0.206,0.2,0.2,9,1793.73033276,0.20017,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LUNA2/EUR,0.206,0.206,0.2,0.2,6,927.74471293,0.20033,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LUNA2/EUR,0.206,0.206,0.2,0.2,3,130.79586744,0.20237,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LUNA2/EUR,0.206,0.206,0.2015,0.2015,2,116.73033276,0.20265,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LUNA2/EUR,0.206,0.206,0.206,0.206,1,30.0,0.206,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LUNA2/EUR,0.22,0.22,0.21455,0.21455,3,282.00727272,0.21562,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LUNA2/EUR,0.22,0.22,0.21651,0.21651,2,113.72727272,0.2172,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LUNA2/EUR,0.22,0.22,0.22,0.22,1,22.72727272,0.22,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LUNA2/EUR,0.225,0.225,0.225,0.225,2,222.22222222,0.225,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
LUNA2/EUR,0.23,0.23,0.229,0.229,2,27.89405043,0.22977,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
LUNA2/EUR,0.235,0.235,0.23419,0.23419,3,171.27659574,0.23429,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
LUNA2/EUR,0.24,0.24,0.23947,0.23947,2,48.89919071,0.23969,2025-02-03T00:38:00.000000000Z,1,2025-02-03T00:39:00.000000Z
LUNA2/EUR,0.24658,0.24658,0.24658,0.24658,1,12.3400885,0.24658,2025-02-03T00:25:00.000000000Z,1,2025-02-03T00:26:00.000000Z
LUNA2/EUR,0.25244,0.25244,0.25244,0.25244,1,19.05718535,0.25244,2025-02-02T23:44:00.000000000Z,1,2025-02-02T23:45:00.000000Z
LUNA2/EUR,0.2474,0.24745,0.2474,0.24745,2,453.861,0.24742,2025-02-02T23:13:00.000000000Z,1,2025-02-02T23:14:00.000000Z
LUNA2/EUR,0.24693,0.24693,0.24234,0.24234,9,2010.41161189,0.24404,2025-02-02T22:53:00.000000000Z,1,2025-02-02T22:54:00.000000Z
LUNA2/EUR,0.24713,0.24713,0.24713,0.24713,1,906.96,0.24713,2025-02-02T22:52:00.000000000Z,1,2025-02-02T22:53:00.000000Z
