symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
LUNA/EUR,5.563e-05,5.563e-05,5.5e-05,5.5e-05,3,1524178.5545393,5.507e-05,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
LUNA/EUR,5.563e-05,5.563e-05,5.563e-05,5.563e-05,1,175893.7671571,5.563e-05,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
LUNA/EUR,5.515e-05,5.515e-05,5.5e-05,5.5e-05,5,4403969.39542501,5.503e-05,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LUNA/EUR,5.515e-05,5.515e-05,5.515e-05,5.515e-05,1,906799.63735267,5.515e-05,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
LUNA/EUR,5.525e-05,5.525e-05,5.525e-05,5.525e-05,1,45817.39437092,5.525e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
LUNA/EUR,5.568e-05,5.568e-05,5.525e-05,5.525e-05,3,594406.07491715,5.539e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LUNA/EUR,5.568e-05,5.568e-05,5.525e-05,5.525e-05,2,428320.70703807,5.545e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LUNA/EUR,5.568e-05,5.568e-05,5.568e-05,5.568e-05,1,205823.34428807,5.568e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
LUNA/EUR,5.568e-05,5.568e-05,5.568e-05,5.568e-05,1,344176.65571193,5.568e-05,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
LUNA/EUR,5.788e-05,5.788e-05,5.6e-05,5.6e-05,3,6852008.85724209,5.682e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
LUNA/EUR,5.788e-05,5.788e-05,5.788e-05,5.788e-05,1,3000000.0,5.788e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
LUNA/EUR,5.601e-05,5.601e-05,5.601e-05,5.601e-05,1,408449.23811,5.601e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
LUNA/EUR,5.625e-05,5.625e-05,5.625e-05,5.625e-05,1,132473.69276202,5.625e-05,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
LUNA/EUR,5.725e-05,5.725e-05,5.625e-05,5.625e-05,3,660726.55723798,5.683e-05,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LUNA/EUR,5.725e-05,5.725e-05,5.725e-05,5.725e-05,1,346484.75353532,5.725e-05,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
LUNA/EUR,5.8e-05,5.8e-05,5.74e-05,5.74e-05,24,40684734.96529232,5.792e-05,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
LUNA/EUR,5.8e-05,5.8e-05,5.8e-05,5.8e-05,12,15234499.65801506,5.8e-05,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
LUNA/EUR,5.8e-05,5.8e-05,5.8e-05,5.8e-05,4,1024646.16872014,5.8e-05,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
LUNA/EUR,5.844e-05,5.844e-05,5.8e-05,5.8e-05,29,88547101.05143856,5.838e-05,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
LUNA/EUR,5.844e-05,5.844e-05,5.844e-05,5.844e-05,4,13976225.93602316,5.844e-05,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
LUNA/EUR,5.86e-05,5.86e-05,5.86e-05,5.86e-05,1,694040.43065097,5.86e-05,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
LUNA/EUR,5.882e-05,5.882e-05,5.882e-05,5.882e-05,1,204621.78902162,5.882e-05,2025-02-03T01:39:00.000000000Z,1,2025-02-03T01:40:00.000000Z
LUNA/EUR,6.057e-05,6.057e-05,6.057e-05,6.057e-05,1,149268.59187,6.057e-05,2025-02-03T01:08:00.000000000Z,1,2025-02-03T01:09:00.000000Z
LUNA/EUR,6.073e-05,6.073e-05,6.073e-05,6.073e-05,1,20500.0,6.073e-05,2025-02-03T00:57:00.000000000Z,1,2025-02-03T00:58:00.000000Z
