symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MASK/USD,2.061,2.061,2.059,2.059,3,955.17017713,2.06,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MASK/USD,2.096,2.096,2.064,2.075,6,797.70446373,2.076,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MASK/USD,2.096,2.096,2.064,2.066,5,359.40086543,2.078,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MASK/USD,2.096,2.096,2.064,2.087,4,287.14893161,2.082,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MASK/USD,2.096,2.096,2.064,2.064,3,171.24240161,2.078,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MASK/USD,2.096,2.096,2.078,2.078,2,141.55826886,2.081,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MASK/USD,2.096,2.096,2.096,2.096,1,29.67530534,2.096,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MASK/USD,2.102,2.122,2.102,2.122,2,496.82414447,2.121,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MASK/USD,2.102,2.102,2.102,2.102,1,18.152862,2.102,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MASK/USD,2.12,2.12,2.12,2.12,1,438.05674637,2.12,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
MASK/USD,2.13,2.13,2.124,2.124,2,146.18635398,2.127,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MASK/USD,2.13,2.13,2.13,2.13,1,73.93442016,2.13,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MASK/USD,2.129,2.129,2.129,2.129,1,29.680155,2.129,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MASK/USD,2.176,2.176,2.176,2.176,1,489.89439573,2.176,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
MASK/USD,2.147,2.154,2.147,2.154,3,905.64655021,2.15,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
MASK/USD,2.149,2.149,2.149,2.149,1,489.58617841,2.149,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
MASK/USD,2.153,2.153,2.148,2.148,3,1059.89506402,2.152,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
MASK/USD,2.152,2.152,2.152,2.152,1,2.12293,2.152,2025-02-03T01:42:00.000000000Z,1,2025-02-03T01:43:00.000000Z
MASK/USD,2.154,2.154,2.154,2.154,2,298.0625,2.154,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
MASK/USD,2.158,2.158,2.158,2.158,1,50.97517609,2.158,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
MASK/USD,2.162,2.162,2.162,2.162,2,262.14868,2.162,2025-02-03T01:25:00.000000000Z,1,2025-02-03T01:26:00.000000Z
MASK/USD,2.175,2.175,2.175,2.175,1,1.5,2.175,2025-02-03T01:21:00.000000000Z,1,2025-02-03T01:22:00.000000Z
MASK/USD,2.196,2.196,2.196,2.196,1,29.67589253,2.196,2025-02-03T01:15:00.000000000Z,1,2025-02-03T01:16:00.000000Z
