symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MATIC/EUR,0.3053,0.3055,0.2915,0.2915,10,10000.0,0.2989,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MATIC/EUR,0.3053,0.3055,0.3053,0.3055,3,5000.0,0.3054,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MATIC/EUR,0.295,0.295,0.295,0.295,1,100.0,0.295,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
MATIC/EUR,0.2951,0.2951,0.2951,0.2951,1,21.68750858,0.2951,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MATIC/EUR,0.2988,0.2988,0.2988,0.2988,2,1107.87979,0.2988,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
MATIC/EUR,0.2988,0.2988,0.2988,0.2988,1,791.34271,0.2988,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
MATIC/EUR,0.2954,0.3001,0.2954,0.3001,2,1534.71961976,0.2984,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
MATIC/EUR,0.2954,0.2954,0.2954,0.2954,1,534.71961976,0.2954,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
MATIC/EUR,0.2998,0.3001,0.2996,0.2996,3,3613.78579,0.2998,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MATIC/EUR,0.2998,0.3001,0.2998,0.3001,2,3284.9401,0.2999,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MATIC/EUR,0.3,0.3,0.3,0.3,2,689.65517,0.3,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MATIC/EUR,0.3,0.3,0.3,0.3,1,32.84072,0.3,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MATIC/EUR,0.3,0.3038,0.2966,0.2966,49,12170.18497815,0.2998,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3038,0.2977,0.2977,48,12128.21814992,0.2998,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3038,0.2978,0.3038,46,11828.76549178,0.2999,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3,0.2978,0.2983,45,11778.48054378,0.2998,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3,0.2978,0.2983,44,11753.35316806,0.2998,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3,0.2978,0.2983,43,11730.98121066,0.2999,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3,0.2978,0.2982,42,11700.83244997,0.2999,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3,0.2978,0.2978,41,11670.68368928,0.2999,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3,0.2978,0.2978,40,11454.58368929,0.2999,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3,0.2996,0.2996,38,11238.4836893,0.2999,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MATIC/EUR,0.3,0.3,0.2996,0.2996,37,11022.38368931,0.2999,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
