symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MELANIA/EUR,1.339,1.345,1.339,1.345,3,14.82882,1.343,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MELANIA/EUR,1.339,1.341,1.339,1.341,2,5.14556,1.34,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MELANIA/EUR,1.339,1.339,1.339,1.339,1,2.56071,1.339,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MELANIA/EUR,1.34,1.355,1.336,1.35,35,10509.19301,1.342,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.355,1.336,1.355,34,10299.72225,1.342,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.355,1.336,1.355,33,10029.72225,1.341,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.355,1.336,1.355,32,9969.80034,1.341,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.354,1.336,1.354,31,9680.45011,1.341,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.353,1.336,1.353,30,9678.67472,1.341,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.351,1.336,1.351,29,9676.88847,1.341,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.35,1.336,1.35,28,9446.88847,1.341,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.341,1.336,1.34,27,6818.79847,1.337,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.341,1.336,1.337,26,6318.79847,1.337,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.341,1.336,1.337,25,5818.79847,1.337,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MELANIA/EUR,1.34,1.341,1.336,1.337,24,5318.79847,1.337,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
