symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MICHI/EUR,0.03122,0.03122,0.03122,0.03122,1,1363.16132,0.03122,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
MICHI/EUR,0.03106,0.03106,0.03106,0.03106,1,1370.1818,0.03106,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MICHI/EUR,0.03249,0.03249,0.03249,0.03249,1,13700.39513,0.03249,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MICHI/EUR,0.03831,0.03831,0.03831,0.03831,1,1370.1818,0.03831,2025-02-03T01:06:00.000000000Z,1,2025-02-03T01:07:00.000000Z
MICHI/EUR,0.0385,0.0385,0.0385,0.0385,1,1363.42082,0.0385,2025-02-03T00:49:00.000000000Z,1,2025-02-03T00:50:00.000000Z
MICHI/EUR,0.03968,0.03968,0.03968,0.03968,1,525.79327,0.03968,2025-02-02T23:53:00.000000000Z,1,2025-02-02T23:54:00.000000Z
MICHI/EUR,0.03998,0.03998,0.03998,0.03998,1,1363.42082,0.03998,2025-02-02T23:43:00.000000000Z,1,2025-02-02T23:44:00.000000Z
MICHI/EUR,0.03873,0.03873,0.03873,0.03873,1,1407.42687,0.03873,2025-02-02T23:29:00.000000000Z,1,2025-02-02T23:30:00.000000Z
MICHI/EUR,0.03886,0.03886,0.03886,0.03886,2,14390.54716,0.03886,2025-02-02T23:27:00.000000000Z,1,2025-02-02T23:28:00.000000Z
MICHI/EUR,0.0387,0.0387,0.0387,0.0387,1,1514.07036,0.0387,2025-02-02T23:22:00.000000000Z,1,2025-02-02T23:23:00.000000Z
MICHI/EUR,0.03831,0.03831,0.03831,0.03831,1,2002.01832,0.03831,2025-02-02T23:09:00.000000000Z,1,2025-02-02T23:10:00.000000Z
MICHI/EUR,0.03895,0.03895,0.03895,0.03895,1,1407.42687,0.03895,2025-02-02T23:06:00.000000000Z,1,2025-02-02T23:07:00.000000Z
MICHI/EUR,0.03894,0.03894,0.03894,0.03894,1,1407.79,0.03894,2025-02-02T22:50:00.000000000Z,1,2025-02-02T22:51:00.000000Z
