symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MINA/GBP,0.232,0.232,0.232,0.232,1,21.11141,0.232,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MINA/GBP,0.25,0.25,0.25,0.25,5,1853.55952512,0.25,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MINA/GBP,0.25,0.25,0.25,0.25,2,641.60512941,0.25,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MINA/GBP,0.252,0.252,0.25,0.25,2,120.67433947,0.25,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MINA/GBP,0.252,0.252,0.252,0.252,1,12.61547619,0.252,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MINA/GBP,0.251,0.251,0.251,0.251,1,26.15626878,0.251,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MINA/GBP,0.256,0.256,0.256,0.256,3,198.65630913,0.256,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MINA/GBP,0.256,0.256,0.256,0.256,2,115.88248101,0.256,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MINA/GBP,0.256,0.256,0.256,0.256,1,82.77320072,0.256,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MINA/GBP,0.257,0.257,0.257,0.257,1,52.44872416,0.257,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MINA/GBP,0.253,0.253,0.25,0.25,2,254.5016116,0.25,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MINA/GBP,0.253,0.253,0.253,0.253,1,4.0,0.253,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MINA/GBP,0.267,0.267,0.257,0.257,14,3206.15215937,0.265,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MINA/GBP,0.267,0.267,0.257,0.257,13,3171.08008245,0.265,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MINA/GBP,0.267,0.267,0.263,0.263,12,2992.68773127,0.265,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MINA/GBP,0.269,0.27,0.269,0.27,2,100.0,0.269,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
MINA/GBP,0.27,0.27,0.27,0.27,1,75.13344264,0.27,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
MINA/GBP,0.273,0.273,0.27,0.27,3,701.19325045,0.27,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
MINA/GBP,0.277,0.277,0.277,0.277,1,57.48441534,0.277,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
MINA/GBP,0.278,0.278,0.278,0.278,1,144.87578791,0.278,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
MINA/GBP,0.28,0.28,0.28,0.28,2,925.50112198,0.28,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
MINA/GBP,0.28,0.28,0.28,0.28,2,570.72994186,0.28,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
MINA/GBP,0.282,0.282,0.282,0.282,1,567.43108684,0.282,2025-02-03T01:28:00.000000000Z,1,2025-02-03T01:29:00.000000Z
MINA/GBP,0.284,0.292,0.28,0.292,5,1113.84576089,0.291,2025-02-03T01:21:00.000000000Z,1,2025-02-03T01:22:00.000000Z
