symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MIR/USD,0.0176,0.0178,0.0176,0.0178,5,7685.11727431,0.0177,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MIR/USD,0.0176,0.0176,0.0176,0.0176,4,3633.88131934,0.0176,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MIR/USD,0.0176,0.0176,0.0176,0.0176,3,2902.45,0.0176,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MIR/USD,0.0176,0.0176,0.0176,0.0176,2,2227.29,0.0176,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MIR/USD,0.0176,0.0176,0.0176,0.0176,1,928.91,0.0176,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MIR/USD,0.0174,0.0174,0.0172,0.0172,5,11370.09497,0.0172,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MIR/USD,0.0174,0.0177,0.0174,0.0177,3,4899.21300834,0.0174,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
MIR/USD,0.0174,0.0177,0.0174,0.0177,2,4353.76300834,0.0174,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
MIR/USD,0.0174,0.0174,0.0174,0.0174,1,3435.05300834,0.0174,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
MIR/USD,0.0178,0.0178,0.0178,0.0178,2,4249.69300825,0.0178,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MIR/USD,0.0178,0.0178,0.0178,0.0178,1,3435.05300825,0.0178,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MIR/USD,0.0181,0.0181,0.0173,0.0179,6,6400.99971,0.0178,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MIR/USD,0.0181,0.0181,0.0173,0.0173,5,5755.51971,0.0178,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MIR/USD,0.0181,0.0181,0.0174,0.0174,4,4787.82135,0.0179,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MIR/USD,0.0181,0.0181,0.018,0.018,2,4124.6,0.018,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MIR/USD,0.0181,0.0181,0.0181,0.0181,1,1598.6,0.0181,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MIR/USD,0.0181,0.0183,0.0181,0.0183,3,1090.9,0.0181,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
MIR/USD,0.0184,0.0185,0.0183,0.0184,7,8829.39,0.0183,2025-02-03T01:42:00.000000000Z,1,2025-02-03T01:43:00.000000Z
MIR/USD,0.0183,0.0185,0.0181,0.0184,17,29183.50108,0.0182,2025-02-03T01:41:00.000000000Z,1,2025-02-03T01:42:00.000000Z
MIR/USD,0.0181,0.0184,0.0176,0.0184,12,97814.22993527,0.0178,2025-02-03T01:40:00.000000000Z,1,2025-02-03T01:41:00.000000Z
MIR/USD,0.0184,0.0186,0.0183,0.0186,10,29989.95843999,0.0184,2025-02-03T01:38:00.000000000Z,1,2025-02-03T01:39:00.000000Z
MIR/USD,0.0182,0.0188,0.0182,0.0188,3,2420.41947495,0.0185,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
MIR/USD,0.0185,0.0189,0.018,0.0182,16,83460.39192827,0.0183,2025-02-03T01:36:00.000000000Z,1,2025-02-03T01:37:00.000000Z
MIR/USD,0.0194,0.0195,0.0181,0.0193,29,121769.01081981,0.0189,2025-02-03T01:34:00.000000000Z,1,2025-02-03T01:35:00.000000Z
MIR/USD,0.0193,0.0196,0.0193,0.0196,3,9468.22117104,0.0195,2025-02-03T01:32:00.000000000Z,1,2025-02-03T01:33:00.000000Z
MIR/USD,0.0194,0.0194,0.0193,0.0193,2,7701.82300326,0.0193,2025-02-03T01:30:00.000000000Z,1,2025-02-03T01:31:00.000000Z
