symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MKR/USD,847.8,847.8,847.6,847.8,7,6.11216212,847.7,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MKR/USD,847.8,847.8,847.6,847.8,6,6.10960454,847.7,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MKR/USD,847.8,847.8,847.6,847.6,5,5.878,847.7,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MKR/USD,873.3,873.3,862.4,862.4,12,14.33419392,863.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,862.4,862.4,11,14.32869194,863.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,863.0,863.0,10,14.3224587,863.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,863.0,863.0,9,13.94301827,863.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,863.0,863.0,8,12.42749016,863.4,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,864.0,871.5,6,0.58196033,872.0,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,864.0,872.5,5,0.56935144,872.0,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,864.0,868.3,4,0.25973835,871.4,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,864.0,864.0,3,0.24714534,871.6,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,872.0,872.0,2,0.23453067,872.0,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,873.3,873.3,873.3,873.3,1,0.01259301,873.3,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MKR/USD,869.8,876.8,869.7,875.4,13,3.85021851,871.9,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MKR/USD,869.8,876.8,869.7,873.8,12,3.18051723,871.1,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MKR/USD,869.8,876.8,869.7,876.8,11,3.11461851,871.1,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MKR/USD,869.8,876.4,869.7,874.9,10,3.02694404,870.9,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MKR/USD,869.8,876.4,869.7,874.3,9,3.00214757,870.9,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MKR/USD,869.8,876.4,869.7,876.4,8,2.83733746,870.7,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
