symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MLN/EUR,11.55,11.55,11.55,11.55,7,3.46499996,11.55,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,6,3.14549996,11.55,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,5,2.82599996,11.55,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,4,2.18749996,11.55,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,3,1.73199996,11.55,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,2,0.82099996,11.55,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,1,0.41049998,11.55,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,7,4.48924986,11.55,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,6,3.55299997,11.55,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,5,2.87149997,11.55,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,4,1.88249997,11.55,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,3,1.267,11.55,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,2,0.821,11.55,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MLN/EUR,11.55,11.55,11.55,11.55,1,0.4105,11.55,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MLN/EUR,11.78,11.78,11.75,11.75,6,20.93378607,11.751,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MLN/EUR,11.78,11.78,11.75,11.75,5,18.10135334,11.751,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MLN/EUR,11.78,11.78,11.75,11.75,4,17.69735333,11.751,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MLN/EUR,11.78,11.78,11.75,11.75,3,17.29335332,11.751,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MLN/EUR,11.78,11.78,11.78,11.78,2,0.93378607,11.78,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MLN/EUR,11.78,11.78,11.78,11.78,1,0.91547654,11.78,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MLN/EUR,12.05,12.05,11.88,11.88,12,33.65281,11.954,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MLN/EUR,12.05,12.05,11.88,11.88,11,19.00180994,12.012,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MLN/EUR,12.05,12.05,11.88,11.88,10,18.36330997,12.016,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MLN/EUR,12.05,12.05,11.88,11.88,9,17.72481,12.021,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MLN/EUR,12.05,12.05,11.88,11.88,8,17.08631,12.027,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MLN/EUR,12.05,12.05,11.88,11.88,7,16.44781,12.032,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MLN/EUR,12.05,12.05,11.88,11.88,6,16.05031,12.036,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MLN/EUR,12.05,12.05,12.0,12.043,5,15.65281,12.04,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MLN/EUR,12.101,12.101,12.05,12.05,22,23.88149829,12.095,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
MLN/EUR,12.15,12.15,12.126,12.126,12,10.6,12.148,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
MLN/EUR,12.25,12.25,12.218,12.218,7,57.0,12.221,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
MLN/EUR,12.35,12.35,12.35,12.35,4,5.0,12.35,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
MLN/EUR,12.443,12.443,12.443,12.443,1,3.55225,12.443,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
MLN/EUR,12.443,12.443,12.443,12.443,2,1.629,12.443,2025-02-03T01:39:00.000000000Z,1,2025-02-03T01:40:00.000000Z
MLN/EUR,12.55,12.55,12.45,12.45,5,4.0,12.475,2025-02-03T01:38:00.000000000Z,1,2025-02-03T01:39:00.000000Z
MLN/EUR,12.65,12.65,12.65,12.65,1,0.5,12.65,2025-02-03T01:22:00.000000000Z,1,2025-02-03T01:23:00.000000Z
MLN/EUR,12.75,12.75,12.75,12.75,1,0.3,12.75,2025-02-03T00:46:00.000000000Z,1,2025-02-03T00:47:00.000000Z
