symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MOG/USD,7.16e-07,7.16e-07,6.83e-07,6.83e-07,7,186082094.50305,7.01e-07,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOG/USD,7.16e-07,7.16e-07,6.95e-07,6.95e-07,6,168801474.89317,7.03e-07,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOG/USD,7.16e-07,7.16e-07,7e-07,7e-07,5,152277746.43317,7.04e-07,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOG/USD,7.16e-07,7.16e-07,7.01e-07,7.01e-07,3,104977737.40585,7.05e-07,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOG/USD,7.16e-07,7.16e-07,7.04e-07,7.04e-07,2,54267012.99385,7.09e-07,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOG/USD,7.16e-07,7.16e-07,7.16e-07,7.16e-07,1,26334052.1,7.16e-07,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOG/USD,7.34e-07,7.37e-07,7.15e-07,7.15e-07,14,2370609866.44372,7.19e-07,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MOG/USD,7.34e-07,7.37e-07,7.16e-07,7.16e-07,13,2350750116.02042,7.19e-07,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MOG/USD,7.34e-07,7.37e-07,7.17e-07,7.17e-07,12,2330918102.67871,7.19e-07,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MOG/USD,7.34e-07,7.37e-07,7.17e-07,7.17e-07,11,2311113749.04878,7.2e-07,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MOG/USD,7.34e-07,7.37e-07,7.19e-07,7.19e-07,9,503044166.46263,7.3e-07,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MOG/USD,7.34e-07,7.37e-07,7.25e-07,7.25e-07,8,486628779.54532,7.31e-07,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MOG/USD,7.34e-07,7.37e-07,7.25e-07,7.25e-07,7,459710879.14156,7.31e-07,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
