symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MORPHO/USD,1.94204,1.9431,1.89679,1.89679,5,772.06034,1.93641,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MORPHO/USD,1.94204,1.9431,1.90871,1.90871,4,710.96701,1.93981,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MORPHO/USD,1.94204,1.9431,1.92727,1.92727,3,669.2875,1.94175,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MORPHO/USD,1.94204,1.9431,1.94204,1.9431,2,619.07441,1.94292,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MORPHO/USD,1.99371,1.99371,1.96947,1.96947,12,937.89618,1.97605,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.96947,1.96947,11,894.85836,1.97637,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.96947,1.96947,10,887.85836,1.97642,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.97382,1.97382,9,715.36261,1.9781,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.97388,1.97388,8,616.68729,1.97879,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.97725,1.98307,7,404.45837,1.98136,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.97725,1.97725,4,104.45837,1.97939,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.97725,1.97725,3,67.51455,1.98056,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.98,1.98,2,55.51455,1.98128,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,1.99371,1.99371,1.99371,1.99371,1,5.19132,1.99371,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
MORPHO/USD,2.01621,2.01622,2.01621,2.01622,2,49.59796,2.01621,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MORPHO/USD,2.02273,2.02435,2.02273,2.02435,3,319.64377,2.02395,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
MORPHO/USD,2.02273,2.02346,2.02273,2.02346,2,100.24322,2.02308,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
MORPHO/USD,2.02273,2.02273,2.02273,2.02273,1,50.84322,2.02273,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
MORPHO/USD,2.00697,2.01864,2.00697,2.01864,4,1003.01381,2.00901,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MORPHO/USD,2.00697,2.01171,2.00697,2.01171,3,1000.0,2.00898,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MORPHO/USD,2.01545,2.0384,2.0037,2.0384,13,1675.66258,2.0118,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
MORPHO/USD,2.01545,2.0384,2.0037,2.0384,12,1672.45824,2.01175,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
MORPHO/USD,2.01545,2.03182,2.0037,2.03182,11,1626.74811,2.011,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
MORPHO/USD,2.01545,2.03166,2.0037,2.03166,9,1266.76421,2.0051,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
MORPHO/USD,2.01545,2.01545,2.0037,2.00777,8,1215.62012,2.00398,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
MORPHO/USD,2.01545,2.01545,2.0037,2.0037,6,1138.67003,2.00373,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
MORPHO/USD,2.01545,2.01545,2.0037,2.0037,5,1136.1808,2.00373,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
