symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MOVR/USD,5.8068,5.8068,5.789,5.789,3,13.38,5.7934,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOVR/USD,5.8068,5.8068,5.8068,5.8068,2,3.38,5.8068,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOVR/USD,5.8068,5.8068,5.8068,5.8068,1,1.4,5.8068,2025-02-03T02:07:00.000000000Z,1,2025-02-03T02:08:00.000000Z
MOVR/USD,6.4454,6.4454,6.4454,6.4454,1,9.32272,6.4454,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
MOVR/USD,6.4527,6.4527,6.4527,6.4527,1,19.33299239,6.4527,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
MOVR/USD,6.0775,6.0775,6.0133,6.0133,13,218.06723558,6.0682,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MOVR/USD,6.0775,6.0775,6.0766,6.0766,11,188.48386858,6.0768,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MOVR/USD,6.0775,6.0775,6.0766,6.0766,10,175.166734,6.0768,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MOVR/USD,6.0775,6.0775,6.0766,6.0766,9,145.583367,6.0769,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MOVR/USD,6.0775,6.0775,6.0766,6.0766,8,125.583367,6.0769,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MOVR/USD,6.0775,6.0775,6.0766,6.0766,6,96.0,6.077,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MOVR/USD,6.0775,6.0775,6.0766,6.0767,4,88.0,6.077,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MOVR/USD,6.0775,6.0775,6.0766,6.0766,3,52.0,6.0773,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MOVR/USD,6.4834,6.4836,6.1591,6.1592,8,130.45059337,6.4554,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MOVR/USD,6.4834,6.4836,6.1591,6.1592,7,127.441451,6.4624,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MOVR/USD,6.4834,6.4836,6.1591,6.1592,6,124.663782,6.4692,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MOVR/USD,6.4834,6.4836,6.1591,6.1592,5,123.493782,6.4721,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MOVR/USD,6.4834,6.4836,6.1591,6.1591,4,121.65891,6.4768,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MOVR/USD,6.4834,6.4836,6.4834,6.4836,3,119.15891,6.4835,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MOVR/USD,6.4417,6.4418,6.4417,6.4418,2,39.47954,6.4417,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
MOVR/USD,6.0003,6.1122,5.8264,5.8264,8,175.73677233,6.0006,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MOVR/USD,6.0003,6.1122,5.9358,6.1122,7,146.18017233,6.0358,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MOVR/USD,6.0003,6.1122,5.9358,6.1122,6,114.05898847,6.0143,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MOVR/USD,6.0003,6.0003,5.9358,5.9358,5,88.05898847,5.9854,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MOVR/USD,6.1615,6.1761,6.0,6.0,70,2202.957663,6.105,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0,6.0,68,2141.957663,6.108,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0957,6.1001,63,2010.957663,6.1109,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0957,6.1013,62,1986.957663,6.111,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0957,6.1005,61,1970.957663,6.1111,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0957,6.1001,60,1954.169364,6.1112,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0957,6.1,59,1925.169364,6.1113,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0957,6.1005,57,1860.169364,6.1117,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0957,6.1002,56,1843.381065,6.1118,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MOVR/USD,6.1615,6.1761,6.0957,6.1001,55,1822.381065,6.112,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
