symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
MXC/USD,0.00205,0.00214,0.00205,0.00214,9,265823.91125,0.00213,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
MXC/USD,0.00203,0.00204,0.00203,0.00204,4,450467.10876865,0.00203,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MXC/USD,0.00203,0.00203,0.00203,0.00203,1,5418.71921182,0.00203,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
MXC/USD,0.00203,0.00203,0.00201,0.00203,8,221498.15674269,0.00201,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
MXC/USD,0.00203,0.00203,0.00201,0.00203,7,216105.99987995,0.00201,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
MXC/USD,0.00203,0.00203,0.00201,0.00201,6,210713.84301721,0.00201,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
MXC/USD,0.00203,0.00203,0.00201,0.00201,5,162733.71137,0.00201,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
MXC/USD,0.00204,0.00204,0.00204,0.00204,2,60938.32244274,0.00204,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MXC/USD,0.00204,0.00204,0.00204,0.00204,1,5392.15686274,0.00204,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
MXC/USD,0.00204,0.00204,0.00204,0.00204,1,1591.40191,0.00204,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
MXC/USD,0.00206,0.00206,0.00206,0.00206,1,5392.15686274,0.00206,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
MXC/USD,0.00205,0.00205,0.00203,0.00203,3,28201.89764377,0.00203,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MXC/USD,0.00205,0.00205,0.00205,0.00205,2,10705.65948377,0.00205,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MXC/USD,0.00205,0.00205,0.00205,0.00205,1,5339.80582524,0.00205,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
MXC/USD,0.00205,0.00205,0.00205,0.00205,1,5365.85365853,0.00205,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
MXC/USD,0.00204,0.00204,0.00204,0.00204,1,5431.20366,0.00204,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
MXC/USD,0.00205,0.00205,0.00205,0.00205,1,5365.85365853,0.00205,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
MXC/USD,0.00206,0.00206,0.00201,0.00205,8,155315.63227372,0.00203,2025-02-03T01:50:00.000000000Z,1,2025-02-03T01:51:00.000000Z
MXC/USD,0.00207,0.00207,0.00207,0.00207,1,6620.94,0.00207,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
MXC/USD,0.00206,0.00206,0.00206,0.00206,1,5339.80582524,0.00206,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
MXC/USD,0.00207,0.00208,0.00206,0.00208,3,11508.40653846,0.00207,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
MXC/USD,0.00208,0.00208,0.00208,0.00208,1,5288.46153846,0.00208,2025-02-03T01:43:00.000000000Z,1,2025-02-03T01:44:00.000000Z
MXC/USD,0.00208,0.0021,0.00208,0.0021,4,22855.74951473,0.00209,2025-02-03T01:42:00.000000000Z,1,2025-02-03T01:43:00.000000Z
MXC/USD,0.00208,0.00208,0.00208,0.00208,1,5288.46153846,0.00208,2025-02-03T01:41:00.000000000Z,1,2025-02-03T01:42:00.000000Z
