symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
NANO/EUR,1.086106,1.086106,1.086105,1.086105,2,30.20692099,1.086105,2025-02-01T19:26:00.000000000Z,1,2025-02-01T19:27:00.000000Z
NANO/EUR,1.087182,1.087182,1.087182,1.087182,1,39.5,1.087182,2025-02-01T19:28:00.000000000Z,1,2025-02-01T19:29:00.000000Z
NANO/EUR,1.08338,1.08338,1.08338,1.08338,1,14.76546029,1.08338,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
NANO/EUR,1.08338,1.08338,1.080095,1.080095,4,278.0,1.080154,2025-02-01T19:39:00.000000000Z,1,2025-02-01T19:40:00.000000Z
NANO/EUR,1.08292,1.08292,1.08292,1.08292,1,26.45019844,1.08292,2025-02-01T19:40:00.000000000Z,1,2025-02-01T19:41:00.000000Z
NANO/EUR,1.083838,1.083838,1.083838,1.083838,1,54.28752341,1.083838,2025-02-01T19:42:00.000000000Z,1,2025-02-01T19:43:00.000000Z
NANO/EUR,1.079933,1.079933,1.079933,1.079933,1,212.86610651,1.079933,2025-02-01T19:50:00.000000000Z,1,2025-02-01T19:51:00.000000Z
NANO/EUR,1.094557,1.10239,1.094557,1.10239,7,945.5310328,1.099104,2025-02-01T19:53:00.000000000Z,1,2025-02-01T19:54:00.000000Z
NANO/EUR,1.1028,1.1028,1.1028,1.1028,1,86.81537904,1.1028,2025-02-01T20:19:00.000000000Z,1,2025-02-01T20:20:00.000000Z
NANO/EUR,1.086846,1.086846,1.086846,1.086846,1,12.07341553,1.086846,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
