symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
NEAR/USD,3.088,3.088,3.053,3.06,31,2723.0273383,3.071,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.053,3.062,30,2711.08594903,3.071,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.053,3.053,28,2528.55207926,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.059,3.059,27,2516.59278385,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.059,3.059,26,2509.77724142,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.06,3.06,25,2505.77724142,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,24,2494.41850453,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,23,2351.00384789,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,22,2349.29586876,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,21,2186.31884222,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,20,1860.72164076,3.072,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,19,1795.51007742,3.073,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,18,1781.67586961,3.073,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,17,1604.69653382,3.073,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,16,1386.06653382,3.073,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,15,1113.42209088,3.073,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,14,869.02363817,3.074,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,13,624.72756696,3.074,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,12,526.91117993,3.075,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,11,518.8031288,3.075,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,10,352.80762156,3.077,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,9,337.77435389,3.077,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,8,333.77435389,3.077,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,7,325.66630276,3.077,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,6,240.66630276,3.079,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.072,3.072,5,235.66630276,3.079,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.077,3.077,4,137.97355017,3.085,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.077,3.077,3,129.26743166,3.085,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.083,3.083,2,121.15938053,3.086,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.088,3.088,3.088,3.088,1,81.86938053,3.088,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
NEAR/USD,3.154,3.154,3.092,3.092,20,2175.54284475,3.1,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.092,3.092,19,2076.52971455,3.1,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.092,3.092,18,2030.10357914,3.1,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.092,3.092,17,1933.01547206,3.101,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.092,3.092,16,1925.57564626,3.101,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.092,3.092,15,1917.79466678,3.101,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.092,3.092,14,1570.38466678,3.103,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.103,3.108,13,797.14934333,3.114,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.103,3.105,12,722.42133438,3.114,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.103,3.106,10,700.90213438,3.115,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.103,3.106,7,425.90213438,3.121,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.103,3.11,4,233.90213438,3.133,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.154,3.154,3.103,3.103,3,137.43911188,3.15,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
NEAR/USD,3.126,3.143,3.101,3.143,90,16237.25385279,3.123,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.141,3.101,3.141,89,16155.25385279,3.123,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.141,3.101,3.134,88,16082.06983143,3.122,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.141,3.101,3.116,87,16060.41125815,3.122,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.141,3.101,3.131,19,6982.60616445,3.127,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.141,3.101,3.141,18,6855.17694514,3.127,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.141,3.101,3.141,17,6716.11173812,3.127,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.136,3.101,3.136,16,6315.83684364,3.126,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.136,3.101,3.136,15,2650.45099973,3.112,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.127,3.101,3.122,14,2648.42871553,3.112,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
NEAR/USD,3.126,3.127,3.101,3.112,11,2148.42871553,3.11,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
