symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
NODL/USD,0.0022,0.0022,0.002137,0.002137,3,184574.47206368,0.002189,2025-02-01T17:49:00.000000000Z,1,2025-02-01T17:50:00.000000Z
NODL/USD,0.002226,0.002226,0.002226,0.002226,1,5399.8856,0.002226,2025-02-01T18:11:00.000000000Z,1,2025-02-01T18:12:00.000000Z
NODL/USD,0.002137,0.002137,0.002091,0.002091,3,10516.0532,0.002119,2025-02-01T18:16:00.000000000Z,1,2025-02-01T18:17:00.000000Z
NODL/USD,0.00221,0.00221,0.00221,0.00221,1,2711.6504,0.00221,2025-02-01T18:27:00.000000000Z,1,2025-02-01T18:28:00.000000Z
NODL/USD,0.002208,0.002208,0.002208,0.002208,1,4375.2625,0.002208,2025-02-01T18:47:00.000000000Z,1,2025-02-01T18:48:00.000000Z
NODL/USD,0.002086,0.002086,0.002017,0.002017,3,14505.1056,0.002054,2025-02-01T19:10:00.000000000Z,1,2025-02-01T19:11:00.000000Z
NODL/USD,0.002206,0.002206,0.002206,0.002206,1,5004.53309157,0.002206,2025-02-01T19:12:00.000000000Z,1,2025-02-01T19:13:00.000000Z
NODL/USD,0.002004,0.002004,0.002004,0.002004,1,530.4254,0.002004,2025-02-01T19:40:00.000000000Z,1,2025-02-01T19:41:00.000000Z
NODL/USD,0.002177,0.002178,0.002177,0.002178,2,7994.95139308,0.002177,2025-02-01T19:51:00.000000000Z,1,2025-02-01T19:52:00.000000Z
NODL/USD,0.002001,0.002001,0.002001,0.002001,1,9836.0091,0.002001,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
