symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
NTRN/USD,0.1761,0.1761,0.1761,0.1761,2,46.67152,0.1761,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
NTRN/USD,0.1875,0.1875,0.1875,0.1875,1,20.02,0.1875,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
NTRN/USD,0.1908,0.1908,0.1908,0.1908,1,10.0,0.1908,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
NTRN/USD,0.1951,0.1951,0.1951,0.1951,1,712.68058,0.1951,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
NTRN/USD,0.1977,0.1977,0.1977,0.1977,1,507.03568,0.1977,2025-02-03T01:17:00.000000000Z,1,2025-02-03T01:18:00.000000Z
NTRN/USD,0.1972,0.1972,0.1972,0.1972,1,315.62386,0.1972,2025-02-03T01:16:00.000000000Z,1,2025-02-03T01:17:00.000000Z
NTRN/USD,0.1997,0.1997,0.1997,0.1997,1,96.09414,0.1997,2025-02-03T01:06:00.000000000Z,1,2025-02-03T01:07:00.000000Z
NTRN/USD,0.2016,0.2016,0.2016,0.2016,1,315.62386,0.2016,2025-02-03T00:57:00.000000000Z,1,2025-02-03T00:58:00.000000Z
NTRN/USD,0.1969,0.1969,0.1969,0.1969,1,1210.46651,0.1969,2025-02-03T00:55:00.000000000Z,1,2025-02-03T00:56:00.000000Z
NTRN/USD,0.198,0.198,0.198,0.198,1,477.18449,0.198,2025-02-03T00:51:00.000000000Z,1,2025-02-03T00:52:00.000000Z
NTRN/USD,0.1971,0.1971,0.197,0.197,3,44.1098,0.197,2025-02-03T00:50:00.000000000Z,1,2025-02-03T00:51:00.000000Z
