symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
OCEAN/USD,0.4249,0.4249,0.4245,0.4245,2,300.0,0.4246,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
OCEAN/USD,0.4233,0.4233,0.422,0.4227,4,424.75016487,0.4229,2025-02-01T19:46:00.000000000Z,1,2025-02-01T19:47:00.000000Z
OCEAN/USD,0.4225,0.4225,0.422,0.422,5,1175.07231,0.4221,2025-02-01T19:59:00.000000000Z,1,2025-02-01T20:00:00.000000Z
OCEAN/USD,0.4216,0.4216,0.4211,0.4211,2,98.85298184,0.4212,2025-02-01T20:01:00.000000000Z,1,2025-02-01T20:02:00.000000Z
OCEAN/USD,0.4208,0.4208,0.4208,0.4208,2,118.04889849,0.4208,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
OCEAN/USD,0.42,0.42,0.42,0.42,5,5430.45059952,0.42,2025-02-01T20:14:00.000000000Z,1,2025-02-01T20:15:00.000000Z
OCEAN/USD,0.4203,0.4203,0.4198,0.4198,3,926.86421438,0.4199,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
OCEAN/USD,0.419,0.419,0.4189,0.4189,2,90.0,0.4189,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
OCEAN/USD,0.4186,0.4186,0.4186,0.4186,1,6.0,0.4186,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
OCEAN/USD,0.4181,0.4181,0.4181,0.4181,1,6.0,0.4181,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
