symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
OGN/EUR,0.064,0.064,0.064,0.064,1,546.45312328,0.064,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OGN/EUR,0.0645,0.0646,0.0645,0.0646,5,9206.38578787,0.0645,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OGN/EUR,0.0645,0.0646,0.0645,0.0646,4,9125.8649995,0.0645,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OGN/EUR,0.0645,0.0646,0.0645,0.0646,3,8895.43650097,0.0645,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OGN/EUR,0.0645,0.0645,0.0645,0.0645,2,8665.00776445,0.0645,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OGN/EUR,0.0645,0.0645,0.0645,0.0645,1,5721.94707198,0.0645,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OGN/EUR,0.0632,0.0632,0.0632,0.0632,1,4769.47535771,0.0632,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OGN/EUR,0.066,0.066,0.065,0.065,3,767.76689976,0.0657,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OGN/EUR,0.066,0.066,0.065,0.065,2,758.15151515,0.0657,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OGN/EUR,0.066,0.066,0.066,0.066,1,583.15151515,0.066,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OGN/EUR,0.0666,0.0666,0.066,0.066,10,9862.36148891,0.066,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0661,0.0661,9,8930.36148891,0.0661,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0661,0.0661,8,7231.36148892,0.0661,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0661,0.0661,7,6458.36148892,0.0661,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0661,0.0661,6,6124.36148892,0.0661,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0661,0.0661,5,4219.36148892,0.0661,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0661,0.0661,4,2540.36148892,0.0661,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0661,0.0662,3,480.36148893,0.0662,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0661,0.0661,2,373.7530795,0.0663,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0666,0.0666,0.0666,0.0666,1,158.73015873,0.0666,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OGN/EUR,0.0685,0.0685,0.0685,0.0685,1,158.04597701,0.0685,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
OGN/EUR,0.07,0.07,0.0698,0.0699,7,6245.91317289,0.0698,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
OGN/EUR,0.07,0.07,0.07,0.07,6,2873.57663568,0.07,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
OGN/EUR,0.0706,0.0706,0.0706,0.0706,2,142.00835739,0.0706,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
OGN/EUR,0.0707,0.0707,0.0706,0.0706,3,4681.27037117,0.0706,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
OGN/EUR,0.071,0.071,0.071,0.071,3,103.7041243,0.071,2025-02-03T01:37:00.000000000Z,1,2025-02-03T01:38:00.000000Z
OGN/EUR,0.0714,0.0714,0.0714,0.0714,1,277.68576876,0.0714,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
OGN/EUR,0.0712,0.0712,0.0712,0.0712,1,287.83146067,0.0712,2025-02-03T00:45:00.000000000Z,1,2025-02-03T00:46:00.000000Z
OGN/EUR,0.0715,0.0715,0.0708,0.0708,3,432.17401552,0.071,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
