symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
OGN/USD,0.0931,0.0931,0.0931,0.0931,1,1578.03388405,0.0931,2025-02-01T17:36:00.000000000Z,1,2025-02-01T17:37:00.000000Z
OGN/USD,0.0932,0.0932,0.0932,0.0932,1,78.64551537,0.0932,2025-02-01T18:00:00.000000000Z,1,2025-02-01T18:01:00.000000Z
OGN/USD,0.0933,0.0933,0.0933,0.0933,1,359.99571275,0.0933,2025-02-01T18:02:00.000000000Z,1,2025-02-01T18:03:00.000000Z
OGN/USD,0.0927,0.0927,0.0927,0.0927,1,57.63518878,0.0927,2025-02-01T18:47:00.000000000Z,1,2025-02-01T18:48:00.000000Z
OGN/USD,0.0913,0.0913,0.0913,0.0913,1,57.65200438,0.0913,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
OGN/USD,0.091,0.091,0.091,0.091,1,270.0,0.091,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
OGN/USD,0.0912,0.0912,0.0912,0.0912,1,347.0522684,0.0912,2025-02-01T19:38:00.000000000Z,1,2025-02-01T19:39:00.000000Z
OGN/USD,0.0901,0.0901,0.0901,0.0901,1,100.0,0.0901,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
OGN/USD,0.0899,0.0899,0.0899,0.0899,3,6731.68880978,0.0899,2025-02-01T20:07:00.000000000Z,1,2025-02-01T20:08:00.000000Z
OGN/USD,0.0896,0.0896,0.0896,0.0896,4,1680.65848214,0.0896,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
