symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
OMG/USD,0.200681,0.200985,0.200672,0.200984,25,3046.755,0.200689,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200985,0.200672,0.200984,24,3005.095,0.200685,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200985,0.200672,0.200985,23,2963.435,0.200681,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200692,0.200672,0.200692,22,2892.033,0.200673,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200672,0.200673,19,1730.36,0.200673,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200672,0.200673,18,1618.089,0.200673,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200672,0.200672,16,1178.688,0.200673,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200672,0.200672,15,706.688,0.200674,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200672,0.200672,14,650.917,0.200674,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200672,0.200672,13,594.832,0.200674,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200673,0.200673,12,538.747,0.200675,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200673,0.200673,11,497.087,0.200675,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200674,0.200674,10,453.663,0.200675,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200674,0.200674,9,404.437,0.200675,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200674,0.200674,8,362.777,0.200676,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200675,0.200676,7,321.117,0.200676,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200675,0.200676,6,270.147,0.200676,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200675,0.200675,4,206.443,0.200676,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OMG/USD,0.200681,0.200681,0.200675,0.200676,3,152.583,0.200677,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
