symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
OMNI/EUR,5.6,5.6,5.6,5.6,1,2.7,5.6,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
OMNI/EUR,5.7,5.7,5.7,5.7,1,114.38241,5.7,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OMNI/EUR,5.7,5.7,5.7,5.7,11,35.61758,5.7,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
OMNI/EUR,5.8,5.8,5.8,5.8,1,2.5,5.8,2025-02-03T01:44:00.000000000Z,1,2025-02-03T01:45:00.000000Z
OMNI/EUR,5.89,5.89,5.88,5.88,5,16.4197,5.882,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
OMNI/EUR,6.4,6.4,5.89,5.89,4,9.12643,6.003,2025-02-02T22:32:00.000000000Z,1,2025-02-02T22:33:00.000000Z
OMNI/EUR,5.88,5.88,5.88,5.88,4,48.72458,5.88,2025-02-02T19:03:00.000000000Z,1,2025-02-02T19:04:00.000000Z
OMNI/EUR,5.88,5.88,5.88,5.88,2,7.60009,5.88,2025-02-02T19:01:00.000000000Z,1,2025-02-02T19:02:00.000000Z
OMNI/EUR,5.88,5.88,5.88,5.88,1,0.88363,5.88,2025-02-02T17:23:00.000000000Z,1,2025-02-02T17:24:00.000000Z
OMNI/EUR,5.88,5.88,5.88,5.88,1,29.73453,5.88,2025-02-02T17:21:00.000000000Z,1,2025-02-02T17:22:00.000000Z
OMNI/EUR,6.0,6.0,6.0,6.0,3,6.42303,6.0,2025-02-02T16:41:00.000000000Z,1,2025-02-02T16:42:00.000000Z
OMNI/EUR,6.0,6.0,6.0,6.0,1,12.24363,6.0,2025-02-02T16:40:00.000000000Z,1,2025-02-02T16:41:00.000000Z
