symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
OP/EUR,0.918,0.918,0.918,0.918,1,10.5191,0.918,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OP/EUR,0.8955,0.8955,0.8955,0.8955,1,338.24545,0.8955,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/EUR,0.8335,0.8335,0.8335,0.8335,1,196.68866,0.8335,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
OP/EUR,0.9,0.94,0.8434,0.8434,13,3372.40155,0.8719,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.9,0.94,0.8435,0.8435,12,3164.90808,0.8737,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.9,0.94,0.859,0.859,10,2385.68603,0.8836,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.9,0.94,0.871,0.871,8,2360.42603,0.8839,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.9,0.94,0.8711,0.94,7,1360.42603,0.8934,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.9,0.9,0.8711,0.8711,6,1354.16403,0.8932,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.9,0.9,0.88,0.88,5,1289.31251,0.8943,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.9,0.9,0.8873,0.8873,4,1277.31251,0.8944,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.9,0.9,0.9,0.9,3,723.72222,0.9,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
OP/EUR,0.96,0.96,0.92,0.92,5,50.81448,0.9364,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OP/EUR,0.96,0.96,0.924,0.924,4,41.81448,0.9399,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OP/EUR,0.96,0.96,0.94,0.94,3,19.71448,0.9578,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OP/EUR,0.96,0.96,0.9592,0.9592,2,18.21448,0.9593,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
OP/EUR,0.98,0.981,0.975,0.981,36,27130.25265,0.9776,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
OP/EUR,0.9999,0.9999,0.991,0.991,2,217.664,0.999,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
OP/EUR,1.0062,1.0063,1.0062,1.0063,2,500.7326,1.0062,2025-02-03T01:47:00.000000000Z,1,2025-02-03T01:48:00.000000Z
OP/EUR,1.0137,1.0137,1.0137,1.0137,1,239.44852,1.0137,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
OP/EUR,1.0165,1.0165,1.0165,1.0165,1,286.77689,1.0165,2025-02-03T01:39:00.000000000Z,1,2025-02-03T01:40:00.000000Z
OP/EUR,1.0228,1.0228,1.0228,1.0228,1,286.77689,1.0228,2025-02-03T01:34:00.000000000Z,1,2025-02-03T01:35:00.000000Z
OP/EUR,1.0168,1.0168,1.0168,1.0168,2,1223.22449,1.0168,2025-02-03T01:21:00.000000000Z,1,2025-02-03T01:22:00.000000Z
OP/EUR,1.0273,1.0273,1.0273,1.0273,1,1187.13723,1.0273,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
OP/EUR,1.0239,1.0239,1.0239,1.0239,1,52.77334,1.0239,2025-02-03T01:07:00.000000000Z,1,2025-02-03T01:08:00.000000Z
