symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
OP/USD,0.9034,0.9034,0.8926,0.8944,8,833.42694,0.8984,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OP/USD,0.9034,0.9034,0.8926,0.8932,7,759.48284,0.8988,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OP/USD,0.9034,0.9034,0.8926,0.8926,6,671.50654,0.8996,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OP/USD,0.9034,0.9034,0.8952,0.8952,5,583.53024,0.9006,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OP/USD,0.9034,0.9034,0.9033,0.9033,4,393.15523,0.9033,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OP/USD,0.9034,0.9034,0.9033,0.9033,3,364.88332,0.9033,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OP/USD,0.9034,0.9034,0.9033,0.9033,2,207.88332,0.9033,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OP/USD,0.9034,0.9034,0.9034,0.9034,1,49.88332,0.9034,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
OP/USD,0.9236,0.9236,0.9128,0.9128,6,1639.771,0.9146,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OP/USD,0.9236,0.9236,0.9137,0.9137,4,741.771,0.9168,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OP/USD,0.9236,0.9236,0.9166,0.9166,3,468.93645,0.9186,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OP/USD,0.9236,0.9236,0.922,0.922,2,175.61251,0.922,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OP/USD,0.9236,0.9236,0.9236,0.9236,1,5.39194,0.9236,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
OP/USD,0.9138,0.9301,0.9123,0.9264,23,10923.49578,0.9223,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9301,0.9123,0.9275,21,9191.34878,0.9215,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9301,0.9123,0.9301,20,8867.34524,0.9213,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9275,0.9123,0.9275,19,8222.25332,0.9206,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.923,0.9123,0.9224,18,7843.82435,0.9203,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.923,0.9123,0.9224,16,6108.44435,0.9197,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.923,0.9123,0.923,14,4372.94095,0.9186,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.923,0.9123,0.923,13,4337.77459,0.9186,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.923,0.9123,0.923,12,4270.919,0.9185,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9212,0.9123,0.9203,11,4202.90486,0.9184,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9212,0.9123,0.9209,8,3124.54031,0.9177,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9162,0.9123,0.913,5,1385.09402,0.9138,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9162,0.9123,0.914,4,1215.05793,0.9139,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9162,0.9123,0.9123,3,458.19999,0.9137,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9162,0.9138,0.9162,2,437.58999,0.9138,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9138,0.9138,0.9138,0.9138,1,428.58501,0.9138,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
OP/USD,0.9243,0.9243,0.9113,0.9138,15,3875.39611,0.9189,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9113,0.9154,14,3547.12318,0.9194,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9113,0.9113,13,3377.53289,0.9196,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9151,0.9158,12,3327.68289,0.9197,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9151,0.9195,11,3158.0926,0.9199,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9151,0.9205,9,1958.4379,0.9202,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9151,0.9205,8,1791.77716,0.9202,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9151,0.9205,7,1248.57996,0.9201,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9151,0.9151,6,1201.57996,0.9201,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9166,0.9166,5,969.57996,0.9213,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.918,0.918,4,873.57996,0.9219,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9243,0.9243,0.9243,0.9243,1,216.37996,0.9243,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
OP/USD,0.9257,0.9284,0.9257,0.9284,3,505.18129,0.9275,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
OP/USD,0.9257,0.9261,0.9257,0.9261,2,171.19,0.9257,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
OP/USD,0.9257,0.9257,0.9257,0.9257,1,130.19,0.9257,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
OP/USD,0.9194,0.9227,0.9082,0.9162,19,6913.94624,0.9185,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9082,0.9141,18,6627.16935,0.9186,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9082,0.9116,17,5870.31141,0.9192,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9082,0.9082,16,5699.93971,0.9195,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9112,0.9112,15,5413.16282,0.92,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9126,0.9126,14,5242.79112,0.9203,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9163,0.9171,13,5199.07879,0.9204,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9163,0.9163,12,5029.80328,0.9205,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9164,0.9164,10,4534.16296,0.921,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9194,0.9196,9,4522.16296,0.921,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9227,0.9194,0.9227,8,4211.35366,0.9211,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9196,0.9194,0.9195,4,2043.76666,0.9195,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9196,0.9194,0.9196,3,1706.54261,0.9195,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9196,0.9194,0.9196,2,1409.35379,0.9194,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.9194,0.9194,0.9194,0.9194,1,756.85794,0.9194,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
OP/USD,0.8523,0.9191,0.8523,0.9191,17,4099.0737,0.8744,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
