symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ORCA/USD,1.888,1.888,1.888,1.888,1,109.81646039,1.888,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ORCA/USD,1.898,1.898,1.898,1.898,1,102.91599463,1.898,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ORCA/USD,1.909,1.933,1.909,1.933,2,1250.5651528,1.912,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ORCA/USD,1.909,1.909,1.909,1.909,1,1075.54443805,1.909,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ORCA/USD,1.909,1.914,1.909,1.914,2,343.1571442,1.911,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ORCA/USD,1.909,1.909,1.909,1.909,1,165.46998629,1.909,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ORCA/USD,1.922,1.922,1.858,1.858,7,1254.74674873,1.87,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ORCA/USD,1.922,1.922,1.864,1.864,5,1208.74674873,1.87,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ORCA/USD,1.922,1.922,1.87,1.87,4,1162.74674873,1.87,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ORCA/USD,1.922,1.922,1.881,1.881,3,87.20231068,1.882,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ORCA/USD,1.922,1.922,1.922,1.922,2,2.61739978,1.922,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ORCA/USD,1.922,1.922,1.922,1.922,1,1.31109403,1.922,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ORCA/USD,1.954,1.954,1.925,1.925,6,296.99398867,1.941,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ORCA/USD,1.954,1.954,1.927,1.927,5,293.85235899,1.941,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ORCA/USD,1.954,1.954,1.932,1.932,4,290.71398996,1.941,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ORCA/USD,1.954,1.954,1.933,1.933,3,130.59898244,1.953,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ORCA/USD,1.954,1.954,1.933,1.933,2,127.41231478,1.953,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ORCA/USD,1.954,1.954,1.954,1.954,1,124.50296782,1.954,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ORCA/USD,2.003,2.003,2.003,2.003,1,151.87547503,2.003,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
ORCA/USD,2.027,2.027,2.027,2.027,1,158.99064536,2.027,2025-02-03T01:51:00.000000000Z,1,2025-02-03T01:52:00.000000Z
ORCA/USD,2.01,2.013,2.01,2.011,11,346.20388786,2.011,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
ORCA/USD,2.029,2.029,2.02,2.02,2,37.69959893,2.022,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
ORCA/USD,2.053,2.053,2.053,2.053,1,42.22972972,2.053,2025-02-03T01:45:00.000000000Z,1,2025-02-03T01:46:00.000000Z
ORCA/USD,2.099,2.1,2.099,2.1,3,52.9,2.099,2025-02-03T01:31:00.000000000Z,1,2025-02-03T01:32:00.000000Z
ORCA/USD,2.123,2.125,2.123,2.124,4,14.24,2.124,2025-02-03T01:07:00.000000000Z,1,2025-02-03T01:08:00.000000Z
ORCA/USD,2.15,2.15,2.15,2.15,2,7.12,2.15,2025-02-03T01:02:00.000000000Z,1,2025-02-03T01:03:00.000000Z
ORCA/USD,2.135,2.135,2.135,2.135,1,234.19203747,2.135,2025-02-03T00:59:00.000000000Z,1,2025-02-03T01:00:00.000000Z
