symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
OSMO/USD,0.3889,0.3889,0.3889,0.3889,2,106.22679,0.3889,2025-02-01T18:41:00.000000000Z,1,2025-02-01T18:42:00.000000Z
OSMO/USD,0.3904,0.3904,0.3904,0.3904,1,1732.04406,0.3904,2025-02-01T19:00:00.000000000Z,1,2025-02-01T19:01:00.000000Z
OSMO/USD,0.3873,0.3873,0.3833,0.3833,8,2465.45847,0.384,2025-02-01T19:01:00.000000000Z,1,2025-02-01T19:02:00.000000Z
OSMO/USD,0.3836,0.3857,0.3836,0.3857,2,16.0,0.3846,2025-02-01T19:03:00.000000000Z,1,2025-02-01T19:04:00.000000Z
OSMO/USD,0.3831,0.3831,0.3831,0.3831,1,58.02011,0.3831,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
OSMO/USD,0.38,0.38,0.38,0.38,3,540.88311,0.38,2025-02-01T20:19:00.000000000Z,1,2025-02-01T20:20:00.000000Z
OSMO/USD,0.3791,0.3791,0.375,0.3754,6,4659.66169,0.3754,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
OSMO/USD,0.3756,0.3756,0.3756,0.3756,1,8.0,0.3756,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
OSMO/USD,0.3775,0.3787,0.3775,0.3787,4,200.0,0.378,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
OSMO/USD,0.3785,0.3785,0.3785,0.3785,1,24.73392,0.3785,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
