symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PENDLE/EUR,3.454,3.454,3.454,3.454,1,2.7585,3.454,2025-02-01T17:25:00.000000000Z,1,2025-02-01T17:26:00.000000Z
PENDLE/EUR,3.437,3.437,3.43,3.43,3,100.0,3.434,2025-02-01T17:32:00.000000000Z,1,2025-02-01T17:33:00.000000Z
PENDLE/EUR,3.465,3.465,3.465,3.465,1,139.758,3.465,2025-02-01T17:33:00.000000000Z,1,2025-02-01T17:34:00.000000Z
PENDLE/EUR,3.459,3.549,3.459,3.549,2,30.09559,3.488,2025-02-01T18:09:00.000000000Z,1,2025-02-01T18:10:00.000000Z
PENDLE/EUR,3.387,3.387,3.387,3.387,1,59.935,3.387,2025-02-01T19:05:00.000000000Z,1,2025-02-01T19:06:00.000000Z
PENDLE/EUR,3.35,3.35,3.35,3.35,1,1.99999,3.35,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
PENDLE/EUR,3.35,3.35,3.35,3.35,1,88.2288,3.35,2025-02-01T19:35:00.000000000Z,1,2025-02-01T19:36:00.000000Z
PENDLE/EUR,3.291,3.291,3.291,3.291,1,15.77,3.291,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
PENDLE/EUR,3.251,3.251,3.251,3.251,2,81.44508,3.251,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
PENDLE/EUR,3.25,3.25,3.25,3.25,1,3.0,3.25,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
