symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PEPE/CAD,1.3214e-05,1.3214e-05,1.3196e-05,1.3196e-05,3,2546034.81389,1.3199e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PEPE/CAD,1.3214e-05,1.3214e-05,1.3196e-05,1.3196e-05,2,2391777.27633,1.3199e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PEPE/CAD,1.3214e-05,1.3214e-05,1.3214e-05,1.3214e-05,1,484194.60542,1.3214e-05,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PEPE/CAD,1.3515e-05,1.3515e-05,1.3267e-05,1.3267e-05,3,29257122.73197,1.3348e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/CAD,1.3515e-05,1.3515e-05,1.3319e-05,1.3319e-05,2,18285701.70075,1.3397e-05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/CAD,1.3232e-05,1.3232e-05,1.322e-05,1.322e-05,2,29257122.78581,1.3226e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PEPE/CAD,1.3232e-05,1.3232e-05,1.3232e-05,1.3232e-05,1,14628561.39291,1.3232e-05,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PEPE/CAD,1.3261e-05,1.3526e-05,1.3261e-05,1.3526e-05,8,47433514.19161,1.339e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/CAD,1.3261e-05,1.3425e-05,1.3261e-05,1.3425e-05,7,41091188.46682,1.337e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/CAD,1.3261e-05,1.3412e-05,1.3261e-05,1.3412e-05,5,32692177.12651,1.3355e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/CAD,1.3261e-05,1.3363e-05,1.3261e-05,1.3363e-05,4,32209193.35761,1.3355e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/CAD,1.3261e-05,1.3279e-05,1.3261e-05,1.3279e-05,3,2569748.64761,1.3264e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/CAD,1.3261e-05,1.3261e-05,1.3261e-05,1.3261e-05,2,2081928.76515,1.3261e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/CAD,1.3261e-05,1.3261e-05,1.3261e-05,1.3261e-05,1,2081818.86735,1.3261e-05,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/CAD,1.3147e-05,1.3147e-05,1.3147e-05,1.3147e-05,1,492715.78183,1.3147e-05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/CAD,1.2632e-05,1.3144e-05,1.2632e-05,1.3144e-05,18,116783933.40714,1.3032e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PEPE/CAD,1.2632e-05,1.3144e-05,1.2632e-05,1.3144e-05,17,111540426.38417,1.3027e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PEPE/CAD,1.2632e-05,1.3144e-05,1.2632e-05,1.3144e-05,16,105627676.02304,1.302e-05,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
