symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PEPE/EUR,8.765e-06,8.765e-06,8.742e-06,8.742e-06,3,164678379.61129,8.746e-06,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PEPE/EUR,8.765e-06,8.765e-06,8.742e-06,8.742e-06,2,146460365.03173,8.747e-06,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PEPE/EUR,8.765e-06,8.765e-06,8.765e-06,8.765e-06,1,34561141.0,8.765e-06,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.814e-06,8.874e-06,26,2954703857.5841,8.879e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.814e-06,8.814e-06,25,2945960200.5841,8.879e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.838e-06,8.838e-06,22,2931228549.42708,8.879e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.838e-06,8.873e-06,20,2853773375.03945,8.88e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.838e-06,8.873e-06,19,2330586321.27945,8.882e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.838e-06,8.838e-06,18,1807399267.51946,8.885e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.86e-06,8.86e-06,17,1718602450.02242,8.888e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.862e-06,8.862e-06,14,1417953242.40674,8.893e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.862e-06,8.862e-06,13,1340698108.31,8.895e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.862e-06,8.862e-06,12,1285698167.31,8.897e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.862e-06,8.862e-06,11,1214127443.31654,8.899e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.866e-06,8.867e-06,10,1057507774.56654,8.904e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.866e-06,8.866e-06,9,1009451519.1207,8.906e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.866e-06,8.866e-06,8,957419295.09578,8.908e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.892e-06,8.892e-06,6,467940469.53862,8.953e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.991e-06,8.964e-06,8.991e-06,5,331698676.68027,8.978e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.987e-06,8.964e-06,8.987e-06,4,326273166.79995,8.978e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.964e-06,8.964e-06,8.964e-06,3,126894793.38995,8.964e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.964e-06,8.964e-06,8.964e-06,2,94894793.38995,8.964e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.964e-06,8.964e-06,8.964e-06,8.964e-06,1,32000000.00001,8.964e-06,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PEPE/EUR,8.842e-06,8.923e-06,8.837e-06,8.92e-06,5,482349456.79733,8.853e-06,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PEPE/EUR,8.842e-06,8.923e-06,8.837e-06,8.923e-06,4,413183219.98024,8.841e-06,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PEPE/EUR,8.842e-06,8.842e-06,8.837e-06,8.837e-06,3,412216924.86918,8.841e-06,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PEPE/EUR,8.842e-06,8.842e-06,8.842e-06,8.842e-06,2,382296915.86918,8.842e-06,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PEPE/EUR,8.842e-06,8.842e-06,8.842e-06,8.842e-06,1,239849240.67303,8.842e-06,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PEPE/EUR,8.87e-06,8.87e-06,8.859e-06,8.859e-06,4,382932302.6689,8.859e-06,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
PEPE/EUR,8.87e-06,8.87e-06,8.87e-06,8.87e-06,1,11270000.0,8.87e-06,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
PEPE/EUR,8.834e-06,8.99e-06,8.834e-06,8.923e-06,7,1131135644.27384,8.851e-06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/EUR,8.834e-06,8.99e-06,8.834e-06,8.941e-06,6,1130169349.16277,8.851e-06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/EUR,8.834e-06,8.99e-06,8.834e-06,8.99e-06,5,962542070.44167,8.835e-06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/EUR,8.834e-06,8.941e-06,8.834e-06,8.941e-06,4,960285908.03901,8.835e-06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/EUR,8.834e-06,8.941e-06,8.834e-06,8.941e-06,3,958234561.44491,8.835e-06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/EUR,8.834e-06,8.889e-06,8.834e-06,8.889e-06,2,949835550.1046,8.834e-06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/EUR,8.834e-06,8.834e-06,8.834e-06,8.834e-06,1,943949000.0,8.834e-06,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.698e-06,8.717e-06,40,4027502051.2118,8.766e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.698e-06,8.761e-06,39,3997582042.2118,8.766e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.698e-06,8.698e-06,34,3484783493.744,8.77e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.701e-06,8.701e-06,33,3410215988.85174,8.772e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.705e-06,8.705e-06,31,3340021523.85174,8.773e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.705e-06,8.705e-06,30,3259234101.85174,8.775e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.71e-06,8.71e-06,29,3203961498.85174,8.776e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.71e-06,8.71e-06,28,3195117159.2291,8.776e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.726e-06,8.726e-06,27,3178741613.37758,8.777e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.726e-06,8.726e-06,26,3154829190.16758,8.777e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.726e-06,8.726e-06,25,3150829316.16758,8.777e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.727e-06,8.756e-06,24,3144029395.37758,8.777e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PEPE/EUR,8.749e-06,8.815e-06,8.727e-06,8.728e-06,23,3114109386.37758,8.778e-06,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
