symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PERP/EUR,0.426,0.443,0.426,0.443,3,3000.0,0.437,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PERP/EUR,0.433,0.433,0.43,0.43,3,1200.13964108,0.43,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PERP/EUR,0.433,0.433,0.43,0.43,2,609.88731171,0.43,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PERP/EUR,0.433,0.433,0.433,0.433,1,23.09468822,0.433,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PERP/EUR,0.442,0.442,0.442,0.442,5,150.0,0.442,2025-02-03T01:53:00.000000000Z,1,2025-02-03T01:54:00.000000Z
PERP/EUR,0.45,0.45,0.45,0.45,2,44.44444444,0.45,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
PERP/EUR,0.466,0.466,0.466,0.466,1,26.77,0.466,2025-02-03T00:50:00.000000000Z,1,2025-02-03T00:51:00.000000Z
PERP/EUR,0.471,0.471,0.471,0.471,1,20.38243358,0.471,2025-02-03T00:39:00.000000000Z,1,2025-02-03T00:40:00.000000Z
PERP/EUR,0.493,0.493,0.493,0.493,2,40.29816774,0.493,2025-02-02T23:52:00.000000000Z,1,2025-02-02T23:53:00.000000Z
PERP/EUR,0.489,0.489,0.489,0.489,1,149.57251765,0.489,2025-02-02T23:40:00.000000000Z,1,2025-02-02T23:41:00.000000Z
PERP/EUR,0.478,0.478,0.478,0.478,1,41.56266223,0.478,2025-02-02T23:12:00.000000000Z,1,2025-02-02T23:13:00.000000Z
PERP/EUR,0.481,0.481,0.481,0.481,1,207.06860707,0.481,2025-02-02T22:42:00.000000000Z,1,2025-02-02T22:43:00.000000Z
PERP/EUR,0.472,0.472,0.467,0.467,2,120.0,0.467,2025-02-02T22:41:00.000000000Z,1,2025-02-02T22:42:00.000000Z
PERP/EUR,0.476,0.476,0.476,0.476,1,21.00840336,0.476,2025-02-02T22:40:00.000000000Z,1,2025-02-02T22:41:00.000000Z
