symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PHA/USD,0.1297,0.1297,0.1292,0.1292,5,11041.33007249,0.1292,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PHA/USD,0.1297,0.1297,0.1292,0.1292,4,10600.7467128,0.1292,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PHA/USD,0.1297,0.1297,0.1292,0.1292,3,5702.66308166,0.1292,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PHA/USD,0.1297,0.1297,0.1292,0.1292,2,3177.71784424,0.1293,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PHA/USD,0.1297,0.1297,0.1297,0.1297,1,847.71784424,0.1297,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PHA/USD,0.1346,0.1346,0.1306,0.1306,4,2009.07797722,0.1311,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PHA/USD,0.1346,0.1346,0.1324,0.1324,2,320.66934625,0.1335,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PHA/USD,0.1346,0.1346,0.1346,0.1346,1,170.85661217,0.1346,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PHA/USD,0.1333,0.1352,0.1333,0.1352,3,14029.50913844,0.1336,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PHA/USD,0.1333,0.134,0.1333,0.134,2,12268.85220414,0.1334,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PHA/USD,0.1333,0.1333,0.1333,0.1333,1,9880.08002919,0.1333,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PHA/USD,0.1339,0.1341,0.1339,0.134,4,8702.72048306,0.1339,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
PHA/USD,0.1339,0.1341,0.1339,0.1341,3,8512.63616557,0.1339,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
PHA/USD,0.1346,0.1349,0.1346,0.1349,2,1220.80812495,0.1347,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PHA/USD,0.1346,0.1346,0.1346,0.1346,1,801.9984262,0.1346,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PHA/USD,0.1332,0.1335,0.1304,0.133,20,185647.9712167,0.1313,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1335,0.1304,0.1335,19,184845.9727905,0.1312,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1304,0.1314,18,184769.26957197,0.1312,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1304,0.1319,17,184692.56635344,0.1312,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1304,0.1304,16,182816.16635344,0.1312,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1312,0.1312,13,180932.21759685,0.1312,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1312,0.1312,12,166783.92654258,0.1312,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1312,0.1312,11,151785.42579296,0.1313,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1312,0.1312,10,147542.89334109,0.1313,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1312,0.1312,9,125312.56230688,0.1313,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1312,0.1312,8,96244.07150837,0.1313,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1312,0.1312,7,70644.09704038,0.1314,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1312,0.1312,6,67202.11759002,0.1314,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1323,0.1323,5,10510.00321403,0.1327,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1332,0.1332,0.1332,0.1332,1,122.76276778,0.1332,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PHA/USD,0.1286,0.1318,0.1269,0.1318,11,10368.98658846,0.1303,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PHA/USD,0.1286,0.1309,0.1269,0.1308,10,6672.30412402,0.1296,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PHA/USD,0.1286,0.1308,0.1269,0.1308,8,4771.88603204,0.1291,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PHA/USD,0.1286,0.1307,0.1269,0.1307,7,4730.57257639,0.1291,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PHA/USD,0.1286,0.1286,0.1269,0.1286,6,2999.24633713,0.1281,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PHA/USD,0.1286,0.1286,0.1269,0.1269,5,1061.26184101,0.1274,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PHA/USD,0.1286,0.1286,0.1278,0.1278,2,249.69828926,0.1279,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PHA/USD,0.1286,0.1286,0.1286,0.1286,1,57.69828926,0.1286,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PHA/USD,0.1336,0.1336,0.1288,0.1288,19,9840.59396412,0.1315,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1303,0.1303,13,6911.27614429,0.1324,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1303,0.1303,12,6900.43852981,0.1324,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1303,0.1303,11,6770.38852981,0.1324,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1303,0.1303,10,6640.33852981,0.1324,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.131,0.131,9,5375.22598756,0.133,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1327,0.1327,8,5362.22598756,0.133,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1328,0.1328,7,5242.36889738,0.133,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1328,0.1328,6,3763.97206004,0.1331,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1328,0.1328,5,3394.96426004,0.1331,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1332,0.1332,4,2685.33386004,0.1332,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1332,0.1332,3,1868.2693926,0.1332,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.1336,0.1336,0.1332,0.1332,2,1855.28756957,0.1332,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PHA/USD,0.14,0.14,0.135,0.135,23,62869.3992648,0.1366,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PHA/USD,0.14,0.14,0.1357,0.1357,22,62128.65852406,0.1366,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PHA/USD,0.14,0.14,0.1357,0.1357,21,57845.61480687,0.1367,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PHA/USD,0.14,0.14,0.1357,0.1357,20,53562.57108969,0.1368,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PHA/USD,0.14,0.14,0.136,0.136,19,49365.18824685,0.1368,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PHA/USD,0.14,0.14,0.1361,0.1361,18,19953.42354097,0.1382,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PHA/USD,0.14,0.14,0.1361,0.1362,17,19879.10454568,0.1382,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PHA/USD,0.14,0.14,0.1361,0.1362,16,17429.64619863,0.1385,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PHA/USD,0.14,0.14,0.1361,0.1361,15,13354.64619863,0.1392,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
