symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PNUT/EUR,0.2523,0.2523,0.2523,0.2523,1,63.71086,0.2523,2025-02-01T01:55:00.000000000Z,1,2025-02-01T01:56:00.000000Z
PNUT/EUR,0.2469,0.2469,0.2469,0.2469,1,1996.79322,0.2469,2025-02-01T02:30:00.000000000Z,1,2025-02-01T02:31:00.000000Z
PNUT/EUR,0.2469,0.2469,0.2469,0.2469,1,120.16919,0.2469,2025-02-01T03:27:00.000000000Z,1,2025-02-01T03:28:00.000000Z
PNUT/EUR,0.2314,0.2314,0.2314,0.2314,1,79.3666,0.2314,2025-02-01T12:19:00.000000000Z,1,2025-02-01T12:20:00.000000Z
PNUT/EUR,0.2245,0.2245,0.2244,0.2244,2,1533.17526,0.2244,2025-02-01T15:12:00.000000000Z,1,2025-02-01T15:13:00.000000Z
PNUT/EUR,0.2142,0.2142,0.2142,0.2142,1,64.0209,0.2142,2025-02-01T19:05:00.000000000Z,1,2025-02-01T19:06:00.000000Z
PNUT/EUR,0.2144,0.2163,0.2144,0.2155,10,17644.41413,0.2153,2025-02-01T19:18:00.000000000Z,1,2025-02-01T19:19:00.000000Z
PNUT/EUR,0.2149,0.2149,0.2149,0.2149,2,1214.10582,0.2149,2025-02-01T19:19:00.000000000Z,1,2025-02-01T19:20:00.000000Z
PNUT/EUR,0.21,0.21,0.21,0.21,2,1000.0,0.21,2025-02-01T19:36:00.000000000Z,1,2025-02-01T19:37:00.000000Z
PNUT/EUR,0.2052,0.2052,0.2052,0.2052,1,49.5972,0.2052,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
