symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PNUT/USD,0.1517,0.1517,0.1517,0.1517,1,253.30149,0.1517,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PNUT/USD,0.155,0.155,0.1521,0.1521,3,4409.23532,0.1548,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PNUT/USD,0.155,0.155,0.155,0.155,2,4238.62918,0.155,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PNUT/USD,0.155,0.155,0.155,0.155,1,2008.61196,0.155,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PNUT/USD,0.1527,0.1546,0.1523,0.1546,7,17871.72873,0.1523,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PNUT/USD,0.1527,0.153,0.1523,0.153,6,17702.44302,0.1523,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PNUT/USD,0.1527,0.153,0.1523,0.153,5,17702.4213,0.1523,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PNUT/USD,0.1527,0.1527,0.1523,0.1523,4,17449.82864,0.1523,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
PNUT/USD,0.1535,0.1535,0.1522,0.1522,3,7565.75731,0.1533,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PNUT/USD,0.1535,0.1535,0.1534,0.1534,2,7459.21044,0.1534,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PNUT/USD,0.1459,0.1551,0.1459,0.1551,8,13202.85761,0.1523,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PNUT/USD,0.1459,0.1525,0.1459,0.1524,6,8217.91228,0.1506,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PNUT/USD,0.1459,0.1525,0.1459,0.1525,5,5866.35787,0.1499,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PNUT/USD,0.1459,0.1509,0.1459,0.1509,4,5613.26892,0.1498,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PNUT/USD,0.1459,0.1472,0.1459,0.1472,3,1374.63974,0.1464,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PNUT/USD,0.1459,0.1466,0.1459,0.1466,2,1110.56983,0.1463,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PNUT/USD,0.1459,0.1459,0.1459,0.1459,1,423.20122,0.1459,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PNUT/USD,0.1552,0.1552,0.1474,0.1474,13,5593.4163,0.152,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1489,0.1489,12,5513.15464,0.152,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1493,0.1493,11,5283.26926,0.1522,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1494,0.1496,10,5182.09695,0.1522,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1494,0.1494,8,5061.68076,0.1523,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1496,0.1496,6,2913.19506,0.1544,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1499,0.1499,5,2759.96612,0.1547,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1514,0.1514,4,2600.49607,0.155,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1552,0.1552,3,2468.34616,0.1552,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1552,0.1552,2,438.58864,0.1552,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1552,0.1552,0.1552,0.1552,1,219.29432,0.1552,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PNUT/USD,0.1591,0.1596,0.1548,0.1548,24,48474.75645,0.1561,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PNUT/USD,0.1591,0.1596,0.1548,0.1548,23,47934.80712,0.1561,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PNUT/USD,0.1591,0.1596,0.1548,0.1548,22,47182.80712,0.1561,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PNUT/USD,0.1591,0.1596,0.1548,0.1548,21,47130.54872,0.1561,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
