symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
POLIS/USD,0.11,0.11,0.11,0.11,3,629.55,0.11,2025-02-01T19:35:00.000000000Z,1,2025-02-01T19:36:00.000000Z
POLIS/USD,0.11,0.11,0.11,0.11,7,1659.0,0.11,2025-02-01T19:38:00.000000000Z,1,2025-02-01T19:39:00.000000Z
POLIS/USD,0.11,0.11,0.11,0.11,1,181.0,0.11,2025-02-01T19:39:00.000000000Z,1,2025-02-01T19:40:00.000000Z
POLIS/USD,0.11,0.11,0.11,0.11,1,9247.05813357,0.11,2025-02-01T19:43:00.000000000Z,1,2025-02-01T19:44:00.000000Z
POLIS/USD,0.11,0.11,0.11,0.11,1,4599.19939335,0.11,2025-02-01T19:46:00.000000000Z,1,2025-02-01T19:47:00.000000Z
POLIS/USD,0.11,0.11,0.11,0.11,1,313.91383337,0.11,2025-02-01T19:47:00.000000000Z,1,2025-02-01T19:48:00.000000Z
POLIS/USD,0.11,0.11,0.11,0.11,1,83.92297,0.11,2025-02-01T20:01:00.000000000Z,1,2025-02-01T20:02:00.000000Z
POLIS/USD,0.109,0.109,0.108,0.108,4,5871.29150119,0.108,2025-02-01T20:14:00.000000000Z,1,2025-02-01T20:15:00.000000Z
POLIS/USD,0.108,0.108,0.108,0.108,1,8321.34018194,0.108,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
POLIS/USD,0.108,0.108,0.107,0.107,2,81.26834485,0.107,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
