symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
POL/EUR,0.26445,0.26445,0.26445,0.26445,2,250.0,0.26445,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
POL/EUR,0.27566,0.27566,0.27566,0.27566,1,26.91607,0.27566,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
POL/EUR,0.27141,0.27141,0.27141,0.27141,1,540.23195,0.27141,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
POL/EUR,0.26521,0.26521,0.26521,0.26521,2,514.14695,0.26521,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
POL/EUR,0.26521,0.26521,0.26521,0.26521,1,91.59038,0.26521,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
POL/EUR,0.27204,0.27457,0.26,0.26,24,114033.26346,0.26845,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.26,0.26,23,110753.17808,0.2687,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.26,0.26,22,107990.05211,0.26892,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.26,0.26,21,106108.00208,0.26908,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.26,0.26,20,105205.46998,0.26915,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.26,0.26,19,105149.46998,0.26916,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.26,0.26,18,91458.87218,0.27053,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.264,0.264,13,77257.81302,0.27246,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.268,0.26984,11,76632.60462,0.27253,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.268,0.2696,10,76614.34963,0.27253,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.268,0.268,9,73958.72048,0.27264,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.27,0.27203,8,73912.19063,0.27264,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.27,0.27,6,24139.75424,0.27427,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
POL/EUR,0.27204,0.27457,0.27,0.27,5,23568.07223,0.27437,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
