symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
POND/USD,0.017855,0.017855,0.017855,0.017855,2,812.1922,0.017855,2025-02-01T19:26:00.000000000Z,1,2025-02-01T19:27:00.000000Z
POND/USD,0.017615,0.017615,0.017615,0.017615,1,851.5469,0.017615,2025-02-01T20:01:00.000000000Z,1,2025-02-01T20:02:00.000000Z
POND/USD,0.017993,0.017993,0.017993,0.017993,1,109.51,0.017993,2025-02-01T20:02:00.000000000Z,1,2025-02-01T20:03:00.000000Z
POND/USD,0.017615,0.017615,0.017387,0.017387,2,870.57,0.017387,2025-02-01T20:03:00.000000000Z,1,2025-02-01T20:04:00.000000Z
POND/USD,0.017669,0.017669,0.017669,0.017669,1,111.52,0.017669,2025-02-01T20:07:00.000000000Z,1,2025-02-01T20:08:00.000000Z
POND/USD,0.017356,0.017356,0.017356,0.017356,1,1026.587925,0.017356,2025-02-01T20:16:00.000000000Z,1,2025-02-01T20:17:00.000000Z
POND/USD,0.017638,0.017638,0.017638,0.017638,1,2175.39879638,0.017638,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
POND/USD,0.017629,0.018118,0.017629,0.018118,2,554.43,0.01777,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
POND/USD,0.017402,0.017402,0.017402,0.017402,1,9205.23,0.017402,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
POND/USD,0.017426,0.017426,0.017426,0.017426,1,207.0319,0.017426,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
