symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PONKE/EUR,0.09542,0.09542,0.09519,0.09519,3,6310.62713,0.0954,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PONKE/EUR,0.09542,0.09542,0.09542,0.09542,2,5850.88,0.09542,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PONKE/EUR,0.09579,0.09579,0.09579,0.09579,1,564.91959,0.09579,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
PONKE/EUR,0.09728,0.09728,0.09727,0.09727,2,2094.0,0.09727,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PONKE/EUR,0.10096,0.10096,0.09625,0.09625,2,519.71156,0.09957,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PONKE/EUR,0.10096,0.10096,0.10096,0.10096,1,367.19542,0.10096,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PONKE/EUR,0.10432,0.10432,0.09892,0.09892,4,1905.45652,0.10291,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
PONKE/EUR,0.10945,0.10945,0.10945,0.10945,1,1338.00597,0.10945,2025-02-03T00:46:00.000000000Z,1,2025-02-03T00:47:00.000000Z
PONKE/EUR,0.10794,0.10794,0.10794,0.10794,1,1338.00597,0.10794,2025-02-03T00:43:00.000000000Z,1,2025-02-03T00:44:00.000000Z
PONKE/EUR,0.11123,0.11123,0.11121,0.11121,2,11940.83316,0.11121,2025-02-03T00:23:00.000000000Z,1,2025-02-03T00:24:00.000000Z
PONKE/EUR,0.11268,0.11311,0.11268,0.11311,6,36945.45211,0.11285,2025-02-02T23:37:00.000000000Z,1,2025-02-02T23:38:00.000000Z
PONKE/EUR,0.11097,0.11097,0.11097,0.11097,1,248.35541,0.11097,2025-02-02T23:34:00.000000000Z,1,2025-02-02T23:35:00.000000Z
PONKE/EUR,0.11109,0.11109,0.11109,0.11109,1,899.40373,0.11109,2025-02-02T23:27:00.000000000Z,1,2025-02-02T23:28:00.000000Z
PONKE/EUR,0.1137,0.1137,0.1137,0.1137,1,1270.22326,0.1137,2025-02-02T23:15:00.000000000Z,1,2025-02-02T23:16:00.000000Z
PONKE/EUR,0.11402,0.11402,0.11402,0.11402,1,847.381,0.11402,2025-02-02T23:02:00.000000000Z,1,2025-02-02T23:03:00.000000Z
