symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
POPCAT/USD,0.242,0.2425,0.242,0.2425,6,12220.6863,0.2421,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
POPCAT/USD,0.2427,0.2427,0.2413,0.2413,3,492.71652,0.242,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
POPCAT/USD,0.242,0.2429,0.242,0.2427,6,1091.59699,0.2425,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
POPCAT/USD,0.2423,0.2431,0.2423,0.2431,12,15562.37858,0.2427,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
POPCAT/USD,0.2414,0.2414,0.2409,0.2409,2,323.67625,0.2412,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
POPCAT/USD,0.2405,0.2407,0.2403,0.2403,4,3303.74915,0.2403,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
POPCAT/USD,0.24,0.24,0.2391,0.2391,10,30370.60913,0.2399,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
POPCAT/USD,0.2397,0.2414,0.2397,0.2414,5,9869.44251,0.2409,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
POPCAT/USD,0.2402,0.2402,0.2388,0.2388,4,54.65863,0.24,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
POPCAT/USD,0.2383,0.2383,0.2383,0.2383,1,3.675,0.2383,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
