symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PORTAL/USD,0.2108,0.2108,0.2108,0.2108,1,1897.16188,0.2108,2025-02-01T03:55:00.000000000Z,1,2025-02-01T03:56:00.000000Z
PORTAL/USD,0.2083,0.2083,0.2083,0.2083,1,158.4,0.2083,2025-02-01T08:00:00.000000000Z,1,2025-02-01T08:01:00.000000Z
PORTAL/USD,0.2014,0.203,0.2014,0.203,9,19574.77832,0.2018,2025-02-01T09:44:00.000000000Z,1,2025-02-01T09:45:00.000000Z
PORTAL/USD,0.1999,0.1999,0.1999,0.1999,1,250.0,0.1999,2025-02-01T10:30:00.000000000Z,1,2025-02-01T10:31:00.000000Z
PORTAL/USD,0.2007,0.2007,0.2007,0.2007,1,42.74123,0.2007,2025-02-01T10:38:00.000000000Z,1,2025-02-01T10:39:00.000000Z
PORTAL/USD,0.2032,0.2032,0.2032,0.2032,2,3500.0,0.2032,2025-02-01T13:05:00.000000000Z,1,2025-02-01T13:06:00.000000Z
PORTAL/USD,0.1985,0.1987,0.1985,0.1987,3,908.246,0.1985,2025-02-01T17:10:00.000000000Z,1,2025-02-01T17:11:00.000000Z
PORTAL/USD,0.1963,0.1965,0.1963,0.1965,5,4830.23605,0.1964,2025-02-01T18:35:00.000000000Z,1,2025-02-01T18:36:00.000000Z
PORTAL/USD,0.1926,0.1926,0.1926,0.1926,1,168.49,0.1926,2025-02-01T19:23:00.000000000Z,1,2025-02-01T19:24:00.000000Z
PORTAL/USD,0.1916,0.1916,0.1916,0.1916,1,16.90582,0.1916,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
