symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
POWR/USD,0.2488,0.2488,0.2488,0.2488,1,36.53536977,0.2488,2025-02-01T18:49:00.000000000Z,1,2025-02-01T18:50:00.000000Z
POWR/USD,0.2487,0.2487,0.2487,0.2487,1,261.67269803,0.2487,2025-02-01T18:53:00.000000000Z,1,2025-02-01T18:54:00.000000Z
POWR/USD,0.2484,0.2484,0.2484,0.2484,1,269.14347247,0.2484,2025-02-01T18:56:00.000000000Z,1,2025-02-01T18:57:00.000000Z
POWR/USD,0.2478,0.2478,0.2478,0.2478,2,482.18181487,0.2478,2025-02-01T19:14:00.000000000Z,1,2025-02-01T19:15:00.000000Z
POWR/USD,0.2465,0.2465,0.2465,0.2465,1,271.21800634,0.2465,2025-02-01T19:28:00.000000000Z,1,2025-02-01T19:29:00.000000Z
POWR/USD,0.246,0.246,0.246,0.246,1,20.32520325,0.246,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
POWR/USD,0.245,0.245,0.245,0.245,1,20.40816326,0.245,2025-02-01T20:01:00.000000000Z,1,2025-02-01T20:02:00.000000Z
POWR/USD,0.2447,0.2447,0.2447,0.2447,1,273.21307136,0.2447,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
POWR/USD,0.2433,0.2433,0.2433,0.2433,1,32.11113425,0.2433,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
POWR/USD,0.2432,0.2432,0.2432,0.2432,1,267.59046053,0.2432,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
