symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PRCL/USD,0.2335,0.2335,0.2335,0.2335,1,4824.66741,0.2335,2025-02-01T17:12:00.000000000Z,1,2025-02-01T17:13:00.000000Z
PRCL/USD,0.2308,0.2308,0.2308,0.2308,1,62.45473,0.2308,2025-02-01T18:51:00.000000000Z,1,2025-02-01T18:52:00.000000Z
PRCL/USD,0.2291,0.2291,0.2291,0.2291,1,63.07416,0.2291,2025-02-01T19:06:00.000000000Z,1,2025-02-01T19:07:00.000000Z
PRCL/USD,0.2258,0.2258,0.2258,0.2258,1,1190.74968,0.2258,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
PRCL/USD,0.2253,0.2253,0.2253,0.2253,1,1209.31752,0.2253,2025-02-01T19:39:00.000000000Z,1,2025-02-01T19:40:00.000000Z
PRCL/USD,0.2253,0.2253,0.2253,0.2253,1,300.087,0.2253,2025-02-01T19:43:00.000000000Z,1,2025-02-01T19:44:00.000000Z
PRCL/USD,0.2251,0.2251,0.2251,0.2251,1,1110.6175,0.2251,2025-02-01T19:44:00.000000000Z,1,2025-02-01T19:45:00.000000Z
PRCL/USD,0.2283,0.2283,0.2283,0.2283,1,1200.2122,0.2283,2025-02-01T19:50:00.000000000Z,1,2025-02-01T19:51:00.000000Z
PRCL/USD,0.2246,0.2246,0.2246,0.2246,1,61.48416,0.2246,2025-02-01T20:10:00.000000000Z,1,2025-02-01T20:11:00.000000Z
PRCL/USD,0.2226,0.2226,0.2226,0.2226,1,43.77639,0.2226,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
