symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PRIME/EUR,6.268,6.268,6.268,6.268,1,24.6063,6.268,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
PRIME/EUR,6.396,6.396,6.396,6.396,2,14.76305,6.396,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PRIME/EUR,6.396,6.396,6.396,6.396,1,14.7188,6.396,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
PRIME/EUR,6.416,6.416,6.384,6.384,3,20.53331,6.406,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PRIME/EUR,6.416,6.416,6.416,6.416,1,5.92655,6.416,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
PRIME/EUR,6.459,6.47,6.38,6.418,11,92.85986,6.446,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.459,6.47,6.38,6.451,10,86.73012,6.448,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.459,6.47,6.38,6.38,9,72.28787,6.448,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.459,6.47,6.426,6.427,8,69.20097,6.451,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.459,6.47,6.426,6.437,6,49.21175,6.451,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.459,6.47,6.426,6.437,5,41.55895,6.454,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.459,6.47,6.426,6.47,3,26.64064,6.453,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.459,6.459,6.426,6.426,2,20.84151,6.448,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.459,6.459,6.459,6.459,1,14.3705,6.459,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
PRIME/EUR,6.38,6.5,6.38,6.487,4,50.39213,6.476,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PRIME/EUR,6.38,6.5,6.38,6.491,3,35.61654,6.472,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PRIME/EUR,6.38,6.5,6.38,6.5,2,21.25807,6.46,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PRIME/EUR,6.38,6.38,6.38,6.38,1,6.9931,6.38,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
PRIME/EUR,6.555,6.555,6.555,6.555,1,5.25722,6.555,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
PRIME/EUR,6.611,6.611,6.595,6.595,2,17.49597,6.597,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
PRIME/EUR,6.57,6.57,6.57,6.57,1,3.1,6.57,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
PRIME/EUR,6.861,6.862,6.861,6.861,8,25.26068,6.861,2025-02-03T01:26:00.000000000Z,1,2025-02-03T01:27:00.000000Z
PRIME/EUR,6.861,6.861,6.861,6.861,4,12.81107,6.861,2025-02-03T01:25:00.000000000Z,1,2025-02-03T01:26:00.000000Z
PRIME/EUR,6.9,6.9,6.887,6.887,5,27.87606,6.887,2025-02-03T01:20:00.000000000Z,1,2025-02-03T01:21:00.000000Z
PRIME/EUR,7.365,7.365,7.365,7.365,1,1.86173,7.365,2025-02-03T01:03:00.000000000Z,1,2025-02-03T01:04:00.000000Z
PRIME/EUR,6.943,6.943,6.943,6.943,1,4.022,6.943,2025-02-03T00:45:00.000000000Z,1,2025-02-03T00:46:00.000000Z
PRIME/EUR,7.0,7.0,6.9,6.9,3,5.01955,6.921,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
PRIME/EUR,7.094,7.094,7.094,7.094,1,14.83008,7.094,2025-02-03T00:26:00.000000000Z,1,2025-02-03T00:27:00.000000Z
PRIME/EUR,7.168,7.168,7.168,7.168,1,14.63896,7.168,2025-02-03T00:12:00.000000000Z,1,2025-02-03T00:13:00.000000Z
