symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PRIME/USD,8.711,8.741,8.68,8.737,12,451.95658,8.702,2025-02-01T20:12:00.000000000Z,1,2025-02-01T20:13:00.000000Z
PRIME/USD,8.693,8.693,8.693,8.693,1,14.03918,8.693,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
PRIME/USD,8.677,8.677,8.677,8.677,1,0.8339,8.677,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
PRIME/USD,8.674,8.707,8.674,8.707,3,57.76039,8.685,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
PRIME/USD,8.657,8.659,8.657,8.659,2,22.75933,8.657,2025-02-01T20:24:00.000000000Z,1,2025-02-01T20:25:00.000000Z
PRIME/USD,8.638,8.638,8.627,8.627,2,11.78031,8.63,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
PRIME/USD,8.645,8.645,8.645,8.645,1,5.60099,8.645,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
PRIME/USD,8.605,8.605,8.6,8.6,3,58.7274,8.601,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
PRIME/USD,8.608,8.608,8.608,8.608,1,7.85299,8.608,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
PRIME/USD,8.607,8.607,8.607,8.607,1,2.13987,8.607,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
