symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PSTAKE/EUR,0.038,0.038,0.038,0.038,3,2131.57894736,0.038,2025-01-31T17:33:00.000000000Z,1,2025-01-31T17:34:00.000000Z
PSTAKE/EUR,0.0374,0.0374,0.0374,0.0374,1,103.34849,0.0374,2025-01-31T17:37:00.000000000Z,1,2025-01-31T17:38:00.000000Z
PSTAKE/EUR,0.0376,0.0376,0.0376,0.0376,1,268.84,0.0376,2025-01-31T23:30:00.000000000Z,1,2025-01-31T23:31:00.000000Z
PSTAKE/EUR,0.0373,0.0373,0.0373,0.0373,1,78.51509995,0.0373,2025-02-01T08:12:00.000000000Z,1,2025-02-01T08:13:00.000000Z
PSTAKE/EUR,0.0373,0.0373,0.0371,0.0371,7,10435.902597,0.0371,2025-02-01T08:53:00.000000000Z,1,2025-02-01T08:54:00.000000Z
PSTAKE/EUR,0.0372,0.0372,0.0371,0.0371,2,958.3209104,0.0371,2025-02-01T09:21:00.000000000Z,1,2025-02-01T09:22:00.000000Z
PSTAKE/EUR,0.0371,0.0371,0.0371,0.0371,1,688.03088803,0.0371,2025-02-01T09:26:00.000000000Z,1,2025-02-01T09:27:00.000000Z
PSTAKE/EUR,0.0371,0.0371,0.0371,0.0371,4,14728.08303633,0.0371,2025-02-01T16:18:00.000000000Z,1,2025-02-01T16:19:00.000000Z
PSTAKE/EUR,0.0371,0.0371,0.0371,0.0371,3,3026.81093363,0.0371,2025-02-01T16:19:00.000000000Z,1,2025-02-01T16:20:00.000000Z
PSTAKE/EUR,0.0363,0.0363,0.0363,0.0363,1,195.0,0.0363,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
