symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
PUFFER/USD,0.51829,0.51829,0.51829,0.51829,1,7.0,0.51829,2025-02-01T20:05:00.000000000Z,1,2025-02-01T20:06:00.000000Z
PUFFER/USD,0.51829,0.51829,0.51829,0.51829,2,76.1563,0.51829,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
PUFFER/USD,0.51724,0.51724,0.51724,0.51724,1,78.75,0.51724,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
PUFFER/USD,0.5163,0.5163,0.5163,0.5163,2,80.466,0.5163,2025-02-01T20:19:00.000000000Z,1,2025-02-01T20:20:00.000000Z
PUFFER/USD,0.51614,0.51614,0.51581,0.51586,5,301.94006,0.5159,2025-02-01T20:20:00.000000000Z,1,2025-02-01T20:21:00.000000Z
PUFFER/USD,0.51527,0.51527,0.51527,0.51527,2,91.90009,0.51527,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
PUFFER/USD,0.51514,0.51524,0.51514,0.51524,3,65.34948,0.5152,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
PUFFER/USD,0.51627,0.51627,0.51627,0.51627,1,75.0,0.51627,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
PUFFER/USD,0.51544,0.51545,0.51544,0.51545,2,50.59621,0.51544,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
PUFFER/USD,0.51527,0.51527,0.51527,0.51527,2,88.94911,0.51527,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
