symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
QNT/EUR,104.05,104.05,104.05,104.05,1,0.24646962,104.05,2025-02-01T19:11:00.000000000Z,1,2025-02-01T19:12:00.000000Z
QNT/EUR,103.92,103.92,103.92,103.92,2,1.35435,103.92,2025-02-01T19:13:00.000000000Z,1,2025-02-01T19:14:00.000000Z
QNT/EUR,103.09,103.09,103.08,103.08,2,1.92421405,103.08,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
QNT/EUR,103.19,103.2,103.19,103.2,2,4.0,103.19,2025-02-01T19:37:00.000000000Z,1,2025-02-01T19:38:00.000000Z
QNT/EUR,102.43,102.43,102.43,102.43,1,0.54482743,102.43,2025-02-01T20:06:00.000000000Z,1,2025-02-01T20:07:00.000000Z
QNT/EUR,102.25,102.25,102.25,102.25,1,0.23932734,102.25,2025-02-01T20:07:00.000000000Z,1,2025-02-01T20:08:00.000000Z
QNT/EUR,102.18,102.18,102.18,102.18,1,0.14852681,102.18,2025-02-01T20:08:00.000000000Z,1,2025-02-01T20:09:00.000000Z
QNT/EUR,102.06,102.06,102.06,102.06,1,0.19252897,102.06,2025-02-01T20:13:00.000000000Z,1,2025-02-01T20:14:00.000000Z
QNT/EUR,102.32,102.32,102.32,102.32,2,1.2,102.32,2025-02-01T20:30:00.000000000Z,1,2025-02-01T20:31:00.000000Z
QNT/EUR,102.19,102.19,102.19,102.19,1,0.14514433,102.19,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
