symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
QTUM/USD,3.93608,3.93608,3.93608,3.93608,1,1.0,3.93608,2025-02-01T20:26:00.000000000Z,1,2025-02-01T20:27:00.000000Z
QTUM/USD,3.94443,3.9461,3.94443,3.9461,2,82.503493,3.94483,2025-02-01T20:27:00.000000000Z,1,2025-02-01T20:28:00.000000Z
QTUM/USD,3.93573,3.93573,3.93573,3.93573,1,1.81976064,3.93573,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
QTUM/USD,3.94556,3.94556,3.94556,3.94556,1,24.497617,3.94556,2025-02-01T20:29:00.000000000Z,1,2025-02-01T20:30:00.000000Z
QTUM/USD,3.95695,3.95695,3.95695,3.95695,1,3.214711,3.95695,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
QTUM/USD,3.94421,3.94421,3.94421,3.94421,1,34.62008,3.94421,2025-02-01T20:32:00.000000000Z,1,2025-02-01T20:33:00.000000Z
QTUM/USD,3.96612,3.96612,3.96612,3.96612,1,10.580886,3.96612,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
QTUM/USD,3.94046,3.94046,3.94046,3.94046,1,4.80520697,3.94046,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
QTUM/USD,3.94051,3.94547,3.94051,3.94547,2,3.393463,3.94287,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
QTUM/USD,3.94135,3.94135,3.94135,3.94135,1,7.03499999,3.94135,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
