symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
RBC/EUR,0.02294,0.02294,0.02294,0.02294,1,1000.0,0.02294,2025-02-01T19:08:00.000000000Z,1,2025-02-01T19:09:00.000000Z
RBC/EUR,0.02235,0.02235,0.0221,0.0221,3,12633.45108657,0.02231,2025-02-01T19:09:00.000000000Z,1,2025-02-01T19:10:00.000000Z
RBC/EUR,0.02235,0.02235,0.02235,0.02235,1,4408.15067,0.02235,2025-02-01T19:18:00.000000000Z,1,2025-02-01T19:19:00.000000Z
RBC/EUR,0.02201,0.02201,0.02201,0.02201,1,274.18192,0.02201,2025-02-01T19:23:00.000000000Z,1,2025-02-01T19:24:00.000000Z
RBC/EUR,0.02201,0.02201,0.02201,0.02201,1,179.86705229,0.02201,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
RBC/EUR,0.02201,0.02201,0.022,0.022,2,1909.44,0.022,2025-02-01T19:36:00.000000000Z,1,2025-02-01T19:37:00.000000Z
RBC/EUR,0.02234,0.02235,0.02234,0.02235,2,1000.0,0.02234,2025-02-01T19:54:00.000000000Z,1,2025-02-01T19:55:00.000000Z
RBC/EUR,0.02235,0.02235,0.02235,0.02235,1,311.98196,0.02235,2025-02-01T20:16:00.000000000Z,1,2025-02-01T20:17:00.000000Z
RBC/EUR,0.02235,0.02235,0.02235,0.02235,1,880.90329139,0.02235,2025-02-01T20:19:00.000000000Z,1,2025-02-01T20:20:00.000000Z
RBC/EUR,0.02265,0.02265,0.02265,0.02265,1,821.19999953,0.02265,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
