symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
RENDER/EUR,3.693,3.693,3.656,3.656,4,468.3582,3.666,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/EUR,3.693,3.693,3.666,3.666,3,197.30563,3.68,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/EUR,3.693,3.693,3.686,3.686,2,114.63452,3.69,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/EUR,3.693,3.693,3.693,3.693,1,72.89566,3.693,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/EUR,3.736,3.751,3.736,3.751,4,372.29632,3.749,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
RENDER/EUR,3.736,3.75,3.736,3.75,3,300.5278,3.749,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
RENDER/EUR,3.736,3.736,3.736,3.736,1,0.5278,3.736,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
RENDER/EUR,3.778,3.778,3.778,3.778,1,52.41,3.778,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
RENDER/EUR,3.744,3.744,3.709,3.732,8,853.19131,3.738,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RENDER/EUR,3.744,3.744,3.709,3.709,7,823.94442,3.739,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RENDER/EUR,3.744,3.744,3.732,3.732,6,742.27853,3.742,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RENDER/EUR,3.744,3.744,3.74,3.74,5,674.52424,3.743,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RENDER/EUR,3.744,3.744,3.74,3.74,4,613.53577,3.743,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RENDER/EUR,3.744,3.744,3.743,3.743,3,593.53526,3.743,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
RENDER/EUR,3.824,3.824,3.608,3.75,4,410.82084,3.689,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
RENDER/EUR,3.824,3.824,3.608,3.678,3,343.06655,3.677,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
