symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
RENDER/USD,3.773,3.775,3.721,3.744,55,1884.01498,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.744,54,1851.95248,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.744,53,1819.88998,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.744,52,1787.82748,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.744,51,1755.76498,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.744,50,1723.70248,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.744,49,1691.63998,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.744,48,1659.57748,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.743,47,1638.60648,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.73,46,1627.51498,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.73,44,1605.3041,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.73,42,1594.19866,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.73,41,1583.09322,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.735,40,1571.98779,3.744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.735,39,1475.80029,3.745,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.735,38,1468.22059,3.745,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.735,37,1418.14359,3.745,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.734,36,1395.77739,3.746,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.725,34,1374.83331,3.746,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.725,33,1363.7204,3.746,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
RENDER/USD,3.773,3.775,3.721,3.733,32,1352.60749,3.746,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
