symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
REN/EUR,0.0243,0.0243,0.0243,0.0243,1,210.22674404,0.0243,2025-02-01T15:55:00.000000000Z,1,2025-02-01T15:56:00.000000Z
REN/EUR,0.0241,0.0241,0.0241,0.0241,1,401.87676,0.0241,2025-02-01T17:10:00.000000000Z,1,2025-02-01T17:11:00.000000Z
REN/EUR,0.0235,0.0235,0.0235,0.0235,1,373.81481482,0.0235,2025-02-01T19:14:00.000000000Z,1,2025-02-01T19:15:00.000000Z
REN/EUR,0.0235,0.0235,0.0235,0.0235,6,7982.99923565,0.0235,2025-02-01T19:28:00.000000000Z,1,2025-02-01T19:29:00.000000Z
REN/EUR,0.0235,0.0235,0.0234,0.0234,4,639.01254119,0.0234,2025-02-01T19:30:00.000000000Z,1,2025-02-01T19:31:00.000000Z
REN/EUR,0.0234,0.0234,0.0234,0.0234,3,8210.44562505,0.0234,2025-02-01T19:31:00.000000000Z,1,2025-02-01T19:32:00.000000Z
REN/EUR,0.0234,0.0234,0.0234,0.0234,3,9842.8361581,0.0234,2025-02-01T19:32:00.000000000Z,1,2025-02-01T19:33:00.000000Z
REN/EUR,0.0231,0.0231,0.0231,0.0231,1,3382.6662515,0.0231,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
REN/EUR,0.023,0.023,0.023,0.023,1,650.0,0.023,2025-02-01T20:28:00.000000000Z,1,2025-02-01T20:29:00.000000Z
REN/EUR,0.023,0.023,0.023,0.023,3,1196.49439287,0.023,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
