symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
REPV2/EUR,0.883,0.883,0.883,0.883,1,11.85250599,0.883,2025-02-01T20:21:00.000000000Z,1,2025-02-01T20:22:00.000000Z
REPV2/EUR,0.882,0.882,0.882,0.882,1,5.47723,0.882,2025-02-01T20:22:00.000000000Z,1,2025-02-01T20:23:00.000000Z
REPV2/EUR,0.88,0.88,0.869,0.869,2,21.78,0.872,2025-02-01T20:23:00.000000000Z,1,2025-02-01T20:24:00.000000Z
REPV2/EUR,0.882,0.882,0.866,0.866,2,21.5037635,0.874,2025-02-01T20:25:00.000000000Z,1,2025-02-01T20:26:00.000000Z
REPV2/EUR,0.866,0.866,0.848,0.848,5,222.41025361,0.852,2025-02-01T20:31:00.000000000Z,1,2025-02-01T20:32:00.000000Z
REPV2/EUR,0.873,0.873,0.809,0.809,13,2342.01490903,0.82,2025-02-01T20:33:00.000000000Z,1,2025-02-01T20:34:00.000000Z
REPV2/EUR,0.832,0.838,0.832,0.838,2,22.68895674,0.834,2025-02-01T20:34:00.000000000Z,1,2025-02-01T20:35:00.000000Z
REPV2/EUR,0.838,0.838,0.788,0.796,12,2068.99847577,0.798,2025-02-01T20:35:00.000000000Z,1,2025-02-01T20:36:00.000000Z
REPV2/EUR,0.78,0.795,0.78,0.795,3,50.04561802,0.789,2025-02-01T20:36:00.000000000Z,1,2025-02-01T20:37:00.000000Z
REPV2/EUR,0.78,0.78,0.765,0.765,7,563.76805919,0.769,2025-02-01T20:37:00.000000000Z,1,2025-02-01T20:38:00.000000Z
